PRECINCT,,HAWVER,JENKINS,SCHLINGENSIEPEN,
TOPEKA WARD 04 PRECINCT 06,,12,93,208,
TOPEKA WARD 04 PRECINCT 07,,5,67,148,
TOPEKA WARD 04 PRECINCT 08,,13,85,182,
TOPEKA WARD 04 PRECINCT 09,,9,84,197,
TOPEKA WARD 04 PRECINCT 10,,16,109,259,
TOPEKA WARD 04 PRECINCT 11,,5,49,64,
TOPEKA WARD 04 PRECINCT 14,,0,4,19,
TOPEKA WARD 04 PRECINCT 15,,13,77,125,
TOPEKA WARD 05 PRECINCT 01,,12,73,164,
TOPEKA WARD 05 PRECINCT 02,,11,90,180,
TOPEKA WARD 05 PRECINCT 03,,4,91,167,
TOPEKA WARD 05 PRECINCT 04,,4,94,185,
TOPEKA WARD 05 PRECINCT 05,,8,98,212,
TOPEKA WARD 05 PRECINCT 06,,4,64,164,
TOPEKA WARD 05 PRECINCT 07,,8,74,198,
TOPEKA WARD 05 PRECINCT 08,,8,72,148,
TOPEKA WARD 05 PRECINCT 09,,10,227,219,
TOPEKA WARD 05 PRECINCT 10,,16,269,266,
TOPEKA WARD 05 PRECINCT 11,,12,165,214,
TOPEKA WARD 05 PRECINCT 14,,3,152,102,
TOPEKA WARD 05 PRECINCT 15,,0,35,21,
TOPEKA WARD 05 PRECINCT 91,,3,60,57,
TOPEKA WARD 06 PRECINCT 01,,4,66,192,
TOPEKA WARD 06 PRECINCT 02,,10,79,174,
TOPEKA WARD 06 PRECINCT 03,,13,148,212,
TOPEKA WARD 06 PRECINCT 04,,8,122,178,
TOPEKA WARD 06 PRECINCT 05,,10,161,208,
TOPEKA WARD 06 PRECINCT 06,,13,104,132,
TOPEKA WARD 06 PRECINCT 07,,9,65,117,
TOPEKA WARD 06 PRECINCT 08,,13,109,243,
TOPEKA WARD 06 PRECINCT 09,,25,344,326,
TOPEKA WARD 07 PRECINCT 01,,5,117,240,
TOPEKA WARD 07 PRECINCT 02,,13,114,192,
TOPEKA WARD 07 PRECINCT 03,,16,100,202,
TOPEKA WARD 07 PRECINCT 04,,18,174,183,
TOPEKA WARD 07 PRECINCT 05,,17,132,149,
TOPEKA WARD 07 PRECINCT 06,,16,120,137,
TOPEKA WARD 07 PRECINCT 07,,9,99,160,
TOPEKA WARD 07 PRECINCT 09,,6,117,141,
TOPEKA WARD 07 PRECINCT 10,,13,102,151,
TOPEKA WARD 07 PRECINCT 11,,21,164,252,
TOPEKA WARD 08 PRECINCT 01,,17,82,189,
TOPEKA WARD 08 PRECINCT 02,,10,100,220,
TOPEKA WARD 08 PRECINCT 03,,15,141,264,
TOPEKA WARD 08 PRECINCT 04,,10,142,235,
TOPEKA WARD 08 PRECINCT 05,,27,194,295,
TOPEKA WARD 08 PRECINCT 06,,8,124,147,
TOPEKA WARD 08 PRECINCT 07,,12,106,218,
TOPEKA WARD 08 PRECINCT 08,,6,111,195,
TOPEKA WARD 08 PRECINCT 09,,9,151,218,
TOPEKA WARD 08 PRECINCT 10,,6,170,146,
TOPEKA WARD 08 PRECINCT 11,,19,180,214,
TOPEKA WARD 09 PRECINCT 01,,2,31,51,
TOPEKA WARD 09 PRECINCT 02,,7,123,140,
TOPEKA WARD 09 PRECINCT 03,,10,206,260,
TOPEKA WARD 09 PRECINCT 04,,12,153,243,
TOPEKA WARD 09 PRECINCT 05,,13,137,209,
TOPEKA WARD 09 PRECINCT 06,,15,160,222,
TOPEKA WARD 09 PRECINCT 08,,19,196,298,
TOPEKA WARD 09 PRECINCT 09,,3,139,156,
TOPEKA WARD 09 PRECINCT 10,,13,257,319,
TOPEKA WARD 09 PRECINCT 11,,8,156,179,
TOPEKA WARD 09 PRECINCT 12,,8,72,116,
TOPEKA WARD 10 PRECINCT 01,,12,153,237,
TOPEKA WARD 10 PRECINCT 02,,11,222,160,
TOPEKA WARD 10 PRECINCT 03,,17,259,270,
TOPEKA WARD 10 PRECINCT 04,,7,149,197,
TOPEKA WARD 10 PRECINCT 05,,20,119,169,
TOPEKA WARD 10 PRECINCT 06,,7,142,157,
TOPEKA WARD 10 PRECINCT 07,,18,170,192,
TOPEKA WARD 10 PRECINCT 08,,11,132,181,
TOPEKA WARD 10 PRECINCT 09,,13,105,128,
TOPEKA WARD 10 PRECINCT 10,,9,190,200,
TOPEKA WARD 10 PRECINCT 11,,24,228,257,
TOPEKA WARD 10 PRECINCT 14,,10,176,192,
TOPEKA WARD 11 PRECINCT 01,,15,115,142,
TOPEKA WARD 11 PRECINCT 02,,5,147,193,
TOPEKA WARD 11 PRECINCT 03,,13,104,153,
TOPEKA WARD 11 PRECINCT 04,,14,197,260,
TOPEKA WARD 11 PRECINCT 05,,9,156,205,
TOPEKA WARD 11 PRECINCT 06,,17,161,187,
TOPEKA WARD 11 PRECINCT 07,,14,160,177,
TOPEKA WARD 11 PRECINCT 08,,15,135,171,
TOPEKA WARD 11 PRECINCT 09,,9,182,186,
TOPEKA WARD 11 PRECINCT 10,,13,119,146,
TOPEKA WARD 12 PRECINCT 01,,12,112,208,
TOPEKA WARD 12 PRECINCT 02,,12,123,130,
TOPEKA WARD 12 PRECINCT 03,,12,197,178,
TOPEKA WARD 12 PRECINCT 04,,10,242,241,
TOPEKA WARD 12 PRECINCT 05,,15,194,195,
TOPEKA WARD 12 PRECINCT 06,,16,228,249,
TOPEKA WARD 12 PRECINCT 07,,22,219,245,
TOPEKA WARD 12 PRECINCT 08,,22,184,276,
TOPEKA WARD 12 PRECINCT 09,,25,338,372,
TOPEKA WARD 12 PRECINCT 11,,17,404,285,
TOPEKA WARD 12 PRECINCT 13,,12,289,178,
TOPEKA WARD 12 PRECINCT 14,,10,220,168,
TOPEKA WARD 12 PRECINCT 15,,24,338,285,
TOPEKA WARD 12 PRECINCT 16,,17,319,334,
TOPEKA WARD 12 PRECINCT 19,,2,46,33,
TOPEKA WARD 12 PRECINCT 20,,19,275,242,
TOPEKA WARD 12 PRECINCT 31,,12,181,136,
TOPEKA WARD 13 PRECINCT 02,,10,74,73,
TOPEKA WARD 13 PRECINCT 05,,2,20,6,
TOPEKA WARD 13 PRECINCT 06,,1,85,18,
TOPEKA WARD 13 PRECINCT 09,,1,54,30,
TOPEKA WARD 13 PRECINCT 12,,16,361,234,
TOPEKA WARD 13 PRECINCT 21,,6,32,54,
TOPEKA WARD 13 PRECINCT 22,,3,49,26,
TOPEKA WARD 13 PRECINCT 30,,8,64,64,
TOPEKA WARD 14 PRECINCT 01,,26,352,312,
TOPEKA WARD 14 PRECINCT 02,,17,276,240,
TOPEKA WARD 14 PRECINCT 03,,14,205,132,
TOPEKA WARD 14 PRECINCT 04,,16,382,250,
TOPEKA WARD 14 PRECINCT 05,,7,292,91,
TOPEKA WARD 15 PRECINCT 01,,26,274,272,
TOPEKA WARD 15 PRECINCT 02,,11,149,198,
TOPEKA WARD 15 PRECINCT 03,,0,18,14,
VACQUERO,,14,182,169,
VERBENA,,4,53,39,
WAKARUSA,,16,273,176,
WASHBURN,,10,213,159,
WEST POTTER,,2,49,21,
WEST ROSSVILLE,,13,219,111,
WEST SILVER LAKE,,21,210,166,
WEST WICHITA,,12,120,101,
WHITFIELD,,19,202,189,
WILLARD,,20,220,137,
YORK,,18,288,205,
YORK OUTER,,1,34,20,
YUCCA,,6,80,44,
,,,,,
TOTAL,,2697,35513,37486,
