,,,,,FIRST,MIDDLE,LAST,SUFFIX,,,
ANDERSON,Garnett Precinct 3,Kansas House of Representatives,5,"Feuerborn, Bill  ",Bill,,Feuerborn,,Democratic,228,000040
ANDERSON,Garnett Precinct 3,Kansas House of Representatives,5,"Jones, Kevin  ",Kevin,,Jones,,Republican,118,000040
ANDERSON,Garnett Precinct 4,Kansas House of Representatives,5,"Feuerborn, Bill  ",Bill,,Feuerborn,,Democratic,53,000050
ANDERSON,Garnett Precinct 4,Kansas House of Representatives,5,"Jones, Kevin  ",Kevin,,Jones,,Republican,31,000050
ANDERSON,Greeley,Kansas House of Representatives,5,"Feuerborn, Bill  ",Bill,,Feuerborn,,Democratic,86,000060
ANDERSON,Greeley,Kansas House of Representatives,5,"Jones, Kevin  ",Kevin,,Jones,,Republican,29,000060
ANDERSON,Indian Creek Township,Kansas House of Representatives,5,"Feuerborn, Bill  ",Bill,,Feuerborn,,Democratic,23,000080
ANDERSON,Indian Creek Township,Kansas House of Representatives,5,"Jones, Kevin  ",Kevin,,Jones,,Republican,43,000080
ANDERSON,Kincaid,Kansas House of Representatives,4,"Palmer, Shirley J. ",Shirley,J.,Palmer,,Democratic,14,000100
ANDERSON,Kincaid,Kansas House of Representatives,4,"Read, Marty  ",Marty,,Read,,Republican,23,000100
ANDERSON,Lincoln Township,Kansas House of Representatives,5,"Feuerborn, Bill  ",Bill,,Feuerborn,,Democratic,45,000110
ANDERSON,Lincoln Township,Kansas House of Representatives,5,"Jones, Kevin  ",Kevin,,Jones,,Republican,50,000110
ANDERSON,Lone Elm City,Kansas House of Representatives,4,"Palmer, Shirley J. ",Shirley,J.,Palmer,,Democratic,4,000120
ANDERSON,Lone Elm City,Kansas House of Representatives,4,"Read, Marty  ",Marty,,Read,,Republican,3,000120
ANDERSON,Lone Elm Township,Kansas House of Representatives,4,"Palmer, Shirley J. ",Shirley,J.,Palmer,,Democratic,26,000130
ANDERSON,Lone Elm Township,Kansas House of Representatives,4,"Read, Marty  ",Marty,,Read,,Republican,46,000130
ANDERSON,Monroe Township,Kansas House of Representatives,5,"Feuerborn, Bill  ",Bill,,Feuerborn,,Democratic,98,00014A
ANDERSON,Monroe Township,Kansas House of Representatives,5,"Jones, Kevin  ",Kevin,,Jones,,Republican,67,00014A
ANDERSON,North Rich Township,Kansas House of Representatives,4,"Palmer, Shirley J. ",Shirley,J.,Palmer,,Democratic,9,000150
ANDERSON,North Rich Township,Kansas House of Representatives,4,"Read, Marty  ",Marty,,Read,,Republican,17,000150
ANDERSON,Ozark Township,Kansas House of Representatives,5,"Feuerborn, Bill  ",Bill,,Feuerborn,,Democratic,27,000160
ANDERSON,Ozark Township,Kansas House of Representatives,5,"Jones, Kevin  ",Kevin,,Jones,,Republican,48,000160
ANDERSON,Putnam Township,Kansas House of Representatives,5,"Feuerborn, Bill  ",Bill,,Feuerborn,,Democratic,92,000170
ANDERSON,Putnam Township,Kansas House of Representatives,5,"Jones, Kevin  ",Kevin,,Jones,,Republican,70,000170
ANDERSON,Reeder Township,Kansas House of Representatives,5,"Feuerborn, Bill  ",Bill,,Feuerborn,,Democratic,51,000180
ANDERSON,Reeder Township,Kansas House of Representatives,5,"Jones, Kevin  ",Kevin,,Jones,,Republican,52,000180
ANDERSON,Rich Township,Kansas House of Representatives,4,"Palmer, Shirley J. ",Shirley,J.,Palmer,,Democratic,13,000190
ANDERSON,Rich Township,Kansas House of Representatives,4,"Read, Marty  ",Marty,,Read,,Republican,52,000190
ANDERSON,Walker Township,Kansas House of Representatives,5,"Feuerborn, Bill  ",Bill,,Feuerborn,,Democratic,116,000200
ANDERSON,Walker Township,Kansas House of Representatives,5,"Jones, Kevin  ",Kevin,,Jones,,Republican,63,000200
ANDERSON,Washington Township,Kansas House of Representatives,5,"Feuerborn, Bill  ",Bill,,Feuerborn,,Democratic,90,000210
ANDERSON,Washington Township,Kansas House of Representatives,5,"Jones, Kevin  ",Kevin,,Jones,,Republican,42,000210
ANDERSON,Welda Township,Kansas House of Representatives,5,"Feuerborn, Bill  ",Bill,,Feuerborn,,Democratic,86,000220
ANDERSON,Welda Township,Kansas House of Representatives,5,"Jones, Kevin  ",Kevin,,Jones,,Republican,45,000220
ANDERSON,Westphalia City,Kansas House of Representatives,5,"Feuerborn, Bill  ",Bill,,Feuerborn,,Democratic,35,000230
ANDERSON,Westphalia City,Kansas House of Representatives,5,"Jones, Kevin  ",Kevin,,Jones,,Republican,13,000230
ANDERSON,Westphalia Township,Kansas House of Representatives,5,"Feuerborn, Bill  ",Bill,,Feuerborn,,Democratic,57,000240
ANDERSON,Westphalia Township,Kansas House of Representatives,5,"Jones, Kevin  ",Kevin,,Jones,,Republican,39,000240
ANDERSON,Jackson Township H5,Kansas House of Representatives,5,"Feuerborn, Bill  ",Bill,,Feuerborn,,Democratic,112,200010
ANDERSON,Jackson Township H5,Kansas House of Representatives,5,"Jones, Kevin  ",Kevin,,Jones,,Republican,86,200010
ANDERSON,Jackson Township H9,Kansas House of Representatives,5,"Feuerborn, Bill  ",Bill,,Feuerborn,,Democratic,0,200020
ANDERSON,Jackson Township H9,Kansas House of Representatives,5,"Jones, Kevin  ",Kevin,,Jones,,Republican,0,200020
ATCHISON,Atchison Precinct 1,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,169,000010
ATCHISON,Atchison Precinct 1,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,87,000010
ATCHISON,Atchison Precinct 2 East,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,165,000020
ATCHISON,Atchison Precinct 2 East,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,106,000020
ATCHISON,Atchison Precinct 2 West,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,201,000030
ATCHISON,Atchison Precinct 2 West,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,131,000030
ATCHISON,Atchison Precinct 3 East,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,366,000040
ATCHISON,Atchison Precinct 3 East,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,174,000040
ATCHISON,Atchison Precinct 3 West,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,573,00005A
ATCHISON,Atchison Precinct 3 West,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,283,00005A
ATCHISON,Atchison Precinct 4,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,344,00006A
ATCHISON,Atchison Precinct 4,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,132,00006A
ATCHISON,Atchison Precinct 4 Exclave A,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,0,00006B
ATCHISON,Atchison Precinct 4 Exclave A,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,0,00006B
ATCHISON,Atchison Precinct 4 Exclave B,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,0,00006C
ATCHISON,Atchison Precinct 4 Exclave B,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,0,00006C
ATCHISON,Atchison Precinct 5 North,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,395,00007A
ATCHISON,Atchison Precinct 5 North,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,230,00007A
ATCHISON,Atchison Precinct 5 North Exclave A,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,0,00007B
ATCHISON,Atchison Precinct 5 North Exclave A,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,0,00007B
ATCHISON,Atchison Precinct 5 North Exclave B,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,0,00007C
ATCHISON,Atchison Precinct 5 North Exclave B,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,0,00007C
ATCHISON,Atchison Precinct 5 South,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,227,00008A
ATCHISON,Atchison Precinct 5 South,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,130,00008A
ATCHISON,Atchison Precinct 5 South Exclave A,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,0,00008B
ATCHISON,Atchison Precinct 5 South Exclave A,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,0,00008B
ATCHISON,Atchison Precinct 5 South Exclave B,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,0,00008C
ATCHISON,Atchison Precinct 5 South Exclave B,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,0,00008C
ATCHISON,Atchison Precinct 5 South Exclave C,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,0,00008D
ATCHISON,Atchison Precinct 5 South Exclave C,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,0,00008D
ATCHISON,Center Township,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,180,000100
ATCHISON,Center Township,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,136,000100
ATCHISON,Grasshopper Township,Kansas House of Representatives,62,"Stones, Dennis R. ",Dennis,R.,Stones,,Democratic,76,000110
ATCHISON,Grasshopper Township,Kansas House of Representatives,62,"Garber, Randy  ",Randy,,Garber,,Republican,206,000110
ATCHISON,Huron Township,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,60,000120
ATCHISON,Huron Township,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,36,000120
ATCHISON,Kapioma Township,Kansas House of Representatives,62,"Stones, Dennis R. ",Dennis,R.,Stones,,Democratic,37,000130
ATCHISON,Kapioma Township,Kansas House of Representatives,62,"Garber, Randy  ",Randy,,Garber,,Republican,88,000130
ATCHISON,Lancaster Township,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,195,000140
ATCHISON,Lancaster Township,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,105,000140
ATCHISON,Shannon Township,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,434,00016A
ATCHISON,Shannon Township,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,216,00016A
ATCHISON,Walnut Township,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,158,00017A
ATCHISON,Walnut Township,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,74,00017A
ATCHISON,Walnut Township Enclave,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,0,00017B
ATCHISON,Walnut Township Enclave,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,0,00017B
ATCHISON,Mount Pleasant Voting District Township,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,312,100050
ATCHISON,Mount Pleasant Voting District Township,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,139,100050
ATCHISON,Benton Township H62,Kansas House of Representatives,62,"Stones, Dennis R. ",Dennis,R.,Stones,,Democratic,152,120020
ATCHISON,Benton Township H62,Kansas House of Representatives,62,"Garber, Randy  ",Randy,,Garber,,Republican,182,120020
ATCHISON,Benton Township H63,Kansas House of Representatives,63,"Henry, Jerry  ",Jerry,,Henry,,Democratic,66,120030
ATCHISON,Benton Township H63,Kansas House of Representatives,63,"Bodenhausen, Stephen  ",Stephen,,Bodenhausen,,Republican,40,120030
BARBER,Aetna Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,1,000010
BARBER,Aetna Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,4,000010
BARBER,Deerhead Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,0,000020
BARBER,Deerhead Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,10,000020
BARBER,Eagle Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,0,000030
BARBER,Eagle Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,19,000030
BARBER,Elm Mills Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,16,000040
BARBER,Elm Mills Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,63,000040
BARBER,Elwood Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,28,000050
BARBER,Elwood Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,72,000050
BARBER,Hazelton Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,33,000060
BARBER,Hazelton Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,53,000060
BARBER,Kiowa East Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,90,000070
BARBER,Kiowa East Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,261,000070
BARBER,Kiowa West Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,72,000080
BARBER,Kiowa West Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,147,000080
BARBER,Lake City Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,5,000090
BARBER,Lake City Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,27,000090
BARBER,McAdoo Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,1,000100
BARBER,McAdoo Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,13,000100
BARBER,Medicine Lodge Precinct 1,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,94,000110
BARBER,Medicine Lodge Precinct 1,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,253,000110
BARBER,Medicine Lodge Precinct 2,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,70,00012A
BARBER,Medicine Lodge Precinct 2,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,207,00012A
BARBER,Medicine Lodge Precinct 2 Exclave,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,0,00012B
BARBER,Medicine Lodge Precinct 2 Exclave,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,0,00012B
BARBER,Medicine Lodge Precinct 3,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,40,000130
BARBER,Medicine Lodge Precinct 3,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,165,000130
BARBER,Medicine Lodge Precinct 4,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,30,000140
BARBER,Medicine Lodge Precinct 4,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,111,000140
BARBER,Medicine Lodge Precinct 5,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,3,000150
BARBER,Medicine Lodge Precinct 5,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,29,000150
BARBER,Mingona Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,8,000160
BARBER,Mingona Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,39,000160
BARBER,Moore Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,6,000170
BARBER,Moore Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,12,000170
BARBER,Nippawalla Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,3,000180
BARBER,Nippawalla Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,11,000180
BARBER,Ridge Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,0,000190
BARBER,Ridge Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,0,000190
BARBER,Sharon Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,38,000200
BARBER,Sharon Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,145,000200
BARBER,Sun City Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,3,000210
BARBER,Sun City Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,22,000210
BARBER,Turkey Creek Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,1,000220
BARBER,Turkey Creek Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,6,000220
BARBER,Valley Township,Kansas House of Representatives,116,"Wetta, Vincent  ",Vincent,,Wetta,,Democratic,9,000230
BARBER,Valley Township,Kansas House of Representatives,116,"Hoffman, Kyle D. ",Kyle,D.,Hoffman,,Republican,57,000230
BARTON,Albion Township,Kansas House of Representatives,112,"Muehleisen, Steve  ",Steve,,Muehleisen,,Democratic,2,000010
BARTON,Albion Township,Kansas House of Representatives,112,"Edmonds, John  ",John,,Edmonds,,Republican,30,000010
BARTON,Beaver Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Troy,L.,Waymaster,,Republican,43,000020
BARTON,Buffalo Township,Kansas House of Representatives,112,"Muehleisen, Steve  ",Steve,,Muehleisen,,Democratic,60,000030
BARTON,Buffalo Township,Kansas House of Representatives,112,"Edmonds, John  ",John,,Edmonds,,Republican,145,000030
BARTON,Cheyenne Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Troy,L.,Waymaster,,Republican,94,000040
BARTON,Clarence Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Troy,L.,Waymaster,,Republican,52,000050
BARTON,Cleveland Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Troy,L.,Waymaster,,Republican,16,000060
BARTON,Comanche Township,Kansas House of Representatives,113,"Christmann, Marshall  ",Marshall,,Christmann,,Republican,156,000070
BARTON,Eureka Township,Kansas House of Representatives,112,"Muehleisen, Steve  ",Steve,,Muehleisen,,Democratic,13,000080
BARTON,Eureka Township,Kansas House of Representatives,112,"Edmonds, John  ",John,,Edmonds,,Republican,38,000080
BARTON,Fairview Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Troy,L.,Waymaster,,Republican,47,000090
BARTON,Grant Township,Kansas House of Representatives,109,"Waymaster, Troy L. ",Troy,L.,Waymaster,,Republican,24,000100
BARTON,Great Bend City Ward 1 Precinct 1,Kansas House of Representatives,112,"Muehleisen, Steve  ",Steve,,Muehleisen,,Democratic,116,00011A
BARTON,Great Bend City Ward 1 Precinct 1,Kansas House of Representatives,112,"Edmonds, John  ",John,,Edmonds,,Republican,200,00011A
BARTON,Great Bend City Ward 1 Precinct 1 Courthouse,Kansas House of Representatives,112,"Muehleisen, Steve  ",Steve,,Muehleisen,,Democratic,0,00011B
BARTON,Great Bend City Ward 1 Precinct 1 Courthouse,Kansas House of Representatives,112,"Edmonds, John  ",John,,Edmonds,,Republican,0,00011B
BARTON,Great Bend City Ward 1 Precinct 2,Kansas House of Representatives,112,"Muehleisen, Steve  ",Steve,,Muehleisen,,Democratic,127,000120
BARTON,Great Bend City Ward 1 Precinct 2,Kansas House of Representatives,112,"Edmonds, John  ",John,,Edmonds,,Republican,343,000120
BARTON,Great Bend City Ward 1 Precinct 3,Kansas House of Representatives,112,"Muehleisen, Steve  ",Steve,,Muehleisen,,Democratic,93,000130
BARTON,Great Bend City Ward 1 Precinct 3,Kansas House of Representatives,112,"Edmonds, John  ",John,,Edmonds,,Republican,288,000130
BARTON,Great Bend City Ward 2 Precinct 1,Kansas House of Representatives,112,"Muehleisen, Steve  ",Steve,,Muehleisen,,Democratic,192,000140
BARTON,Great Bend City Ward 2 Precinct 1,Kansas House of Representatives,112,"Edmonds, John  ",John,,Edmonds,,Republican,426,000140
BARTON,Great Bend City Ward 2 Precinct 2,Kansas House of Representatives,112,"Muehleisen, Steve  ",Steve,,Muehleisen,,Democratic,160,000150
BARTON,Great Bend City Ward 2 Precinct 2,Kansas House of Representatives,112,"Edmonds, John  ",John,,Edmonds,,Republican,451,000150
BARTON,Great Bend City Ward 2 Precinct 3,Kansas House of Representatives,112,"Muehleisen, Steve  ",Steve,,Muehleisen,,Democratic,169,000160
