KANSAS HOUSE DISTRICT 047,GONZALEZ,HANSON,
TOPEKA WARD 02 PRECINCT 07,133,22,
TOPEKA WARD 02 PRECINCT 08,151,16,
TOPEKA WARD 02 PRECINCT 09,232,92,
TOPEKA WARD 02 PRECINCT 10,283,56,
TOPEKA WARD 02 PRECINCT 11,125,80,
TOPEKA WARD 03 PRECINCT 10,16,9,
TOPEKA WARD 04 PRECINCT 01,219,46,
TOPEKA WARD 04 PRECINCT 02,254,53,
TOPEKA WARD 04 PRECINCT 03,180,21,
TOPEKA WARD 05 PRECINCT 11,242,141,
TOPEKA WARD 05 PRECINCT 14,125,128,
,,,
TOTALS,4626,1869,
,,,
KANSAS HOUSE DISTRICT 058,LANE,MARTIN,
,DEMOCRATIC,REPUBLICAN,
,,,
DEER CREEK,9,14,
TOPEKA WARD 03 PRECINCT 08,177,79,
TOPEKA WARD 03 PRECINCT 09,213,80,
TOPEKA WARD 04 PRECINCT 04,313,54,
TOPEKA WARD 04 PRECINCT 06,244,60,
TOPEKA WARD 04 PRECINCT 07,173,42,
TOPEKA WARD 04 PRECINCT 08,200,69,
TOPEKA WARD 04 PRECINCT 09,233,60,
TOPEKA WARD 04 PRECINCT 10,283,84,
TOPEKA WARD 04 PRECINCT 11,65,50,
TOPEKA WARD 04 PRECINCT 14,21,3,
TOPEKA WARD 05 PRECINCT 01,178,63,
TOPEKA WARD 05 PRECINCT 02,215,61,
TOPEKA WARD 05 PRECINCT 03,187,64,
TOPEKA WARD 05 PRECINCT 04,210,69,
TOPEKA WARD 05 PRECINCT 05,227,85,
TOPEKA WARD 05 PRECINCT 06,186,41,
TOPEKA WARD 05 PRECINCT 07,215,57,
TOPEKA WARD 05 PRECINCT 08,160,65,
TOPEKA WARD 05 PRECINCT 09,262,175,
TOPEKA WARD 05 PRECINCT 10,307,222,
TOPEKA WARD 06 PRECINCT 01,220,39,
TOPEKA WARD 06 PRECINCT 02,205,55,
TOPEKA WARD 06 PRECINCT 08,275,82,
,,,
TOTALS,4778,1673,
