,STATE SEN 6,,,,STATE SEN 7,,,,STATE SEN 8,,,,STATE SEN 9,,,,STATE SEN 10,,,,STATE SEN 11,,,,STATE SEN 21,,,,STATE SEN 23,,,,STATE SEN 37,
Edgerton 0-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Edgerton 0-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Edgerton 0-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Fairway 1-00,-,-,-,-,271,44.21%,342,55.79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairway 2-00,-,-,-,-,244,46.04%,285,53.77%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairway 3-00,-,-,-,-,292,41.54%,409,58.18%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairway 4-00,-,-,-,-,320,54.33%,268,45.50%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner 0-01,-,-,-,-,-,-,-,-,-,-,-,-,814,69.28%,361,30.72%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner 0-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151,98.69%
Gardner 0-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,717,98.90%
Gardner 0-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,525,98.13%
Gardner 0-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Gardner 0-06,-,-,-,-,-,-,-,-,-,-,-,-,628,69.32%,277,30.57%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner 0-07,-,-,-,-,-,-,-,-,-,-,-,-,15,57.69%,11,42.31%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner 0-08,-,-,-,-,-,-,-,-,-,-,-,-,52,80.00%,13,20.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner 0-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,855,99.65%
Gardner 0-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,562,98.77%
Gardner 0-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Gardner 0-12,-,-,-,-,-,-,-,-,-,-,-,-,8,42.11%,11,57.89%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner 0-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,656,98.35%
Gardner 0-14,-,-,-,-,-,-,-,-,-,-,-,-,386,62.66%,230,37.34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner 0-15,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner Twp 0-01,-,-,-,-,-,-,-,-,-,-,-,-,259,70.00%,111,30.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner Twp 0-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,395,99.75%
Gardner Twp 0-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Gardner Twp 0-04,-,-,-,-,-,-,-,-,-,-,-,-,1,100.00%,0,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner Twp 0-05,-,-,-,-,-,-,-,-,-,-,-,-,5,62.50%,3,37.50%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner Twp 0-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Gardner Twp 0-07,-,-,-,-,-,-,-,-,-,-,-,-,2,50.00%,2,50.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner Twp 0-08,-,-,-,-,-,-,-,-,-,-,-,-,1,16.67%,5,83.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner Twp 0-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,100.00%
Gardner Twp 0-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Gardner Twp 0-11,-,-,-,-,-,-,-,-,-,-,-,-,65,59.63%,42,38.53%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner Twp 0-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Lake Quivira 0-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,257,39.97%,386,60.03%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Leawood 1-01,-,-,-,-,290,48.41%,308,51.42%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Leawood 1-02,-,-,-,-,319,34.12%,616,65.88%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Leawood 1-03,-,-,-,-,287,34.96%,531,64.68%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Leawood 1-04,-,-,-,-,258,39.39%,397,60.61%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Leawood 1-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,232,37.79%,380,61.89%,-,-,-,-,-,-,-,-,-,-
Leawood 1-06,-,-,-,-,80,49.38%,82,50.62%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Leawood 2-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,318,41.84%,442,58.16%,-,-,-,-,-,-,-,-,-,-
Leawood 2-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,375,39.94%,564,60.06%,-,-,-,-,-,-,-,-,-,-
Leawood 2-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,330,36.91%,564,63.09%,-,-,-,-,-,-,-,-,-,-
Leawood 2-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,256,26.72%,700,73.07%,-,-,-,-,-,-,-,-,-,-
Leawood 2-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,203,36.38%,355,63.62%,-,-,-,-,-,-,-,-,-,-
Leawood 2-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129,33.25%,259,66.75%,-,-,-,-,-,-,-,-,-,-
Leawood 3-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,217,41.81%,301,58.00%,-,-,-,-,-,-,-,-,-,-
Leawood 3-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,342,38.21%,551,61.56%,-,-,-,-,-,-,-,-,-,-
Leawood 3-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,193,34.22%,371,65.78%,-,-,-,-,-,-,-,-,-,-
Leawood 3-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96,34.91%,179,65.09%,-,-,-,-,-,-,-,-,-,-
Leawood 3-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,374,33.48%,743,66.52%,-,-,-,-,-,-,-,-,-,-
Leawood 3-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,305,28.77%,755,71.23%,-,-,-,-,-,-,-,-,-,-
Leawood 3-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,287,34.45%,545,65.43%,-,-,-,-,-,-,-,-,-,-
Leawood 4-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,28.74%,186,71.26%,-,-,-,-,-,-,-,-,-,-
Leawood 4-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,272,37.31%,457,62.69%,-,-,-,-,-,-,-,-,-,-
Leawood 4-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,264,36.82%,453,63.18%,-,-,-,-,-,-,-,-,-,-
Leawood 4-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,326,35.02%,603,64.77%,-,-,-,-,-,-,-,-,-,-
Leawood 4-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,324,36.69%,557,63.08%,-,-,-,-,-,-,-,-,-,-
Leawood 4-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,148,21.83%,530,78.17%,-,-,-,-,-,-,-,-,-,-
Leawood 4-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,315,26.29%,883,73.71%,-,-,-,-,-,-,-,-,-,-
Leawood 4-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,112,23.78%,358,76.01%,-,-,-,-,-,-,-,-,-,-
Lenexa 1-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,230,46.56%,263,53.24%,-,-,-,-,-,-
Lenexa 1-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,455,45.00%,556,55.00%,-,-,-,-,-,-
Lenexa 1-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,532,46.02%,623,53.89%,-,-,-,-,-,-
Lenexa 1-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,387,47.90%,421,52.10%,-,-,-,-,-,-
Lenexa 1-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,379,46.62%,434,53.38%,-,-,-,-,-,-
Lenexa 1-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,370,38.34%,594,61.55%,-,-,-,-,-,-
Lenexa 1-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,273,50.74%,264,49.07%,-,-,-,-,-,-
Lenexa 1-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132,52.38%,120,47.62%,-,-,-,-,-,-
Lenexa 1-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,50.00%,8,44.44%,-,-,-,-,-,-
Lenexa 2-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,346,34.19%,666,65.81%,-,-,-,-,-,-
Lenexa 2-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,24.48%,219,75.52%,-,-,-,-,-,-
Lenexa 2-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,343,32.39%,715,67.52%,-,-,-,-,-,-
Lenexa 2-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,275,25.53%,800,74.28%,-,-,-,-,-,-
Lenexa 2-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,482,54.04%,410,45.96%,-,-,-,-,-,-
Lenexa 2-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220,32.45%,457,67.40%,-,-,-,-,-,-
Lenexa 2-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,406,37.11%,687,62.80%,-,-,-,-,-,-
Lenexa 2-08,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lenexa 3-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,418,58.46%,297,41.54%,-,-,-,-,-,-
Lenexa 3-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,541,56.53%,416,43.47%,-,-,-,-,-,-
Lenexa 3-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,497,47.61%,547,52.39%,-,-,-,-,-,-
Lenexa 3-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,285,40.43%,420,59.57%,-,-,-,-,-,-
Lenexa 3-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,338,58.18%,242,41.65%,-,-,-,-,-,-
Lenexa 3-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,354,53.47%,308,46.53%,-,-,-,-,-,-
Lenexa 3-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,378,45.99%,444,54.01%,-,-,-,-,-,-
Lenexa 3-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,407,46.46%,469,53.54%,-,-,-,-,-,-
Lenexa 4-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,210,50.12%,209,49.88%,-,-,-,-,-,-
Lenexa 4-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,362,45.31%,436,54.57%,-,-,-,-,-,-
Lenexa 4-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,272,58.75%,189,40.82%,-,-,-,-,-,-
Lenexa 4-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,229,51.81%,212,47.96%,-,-,-,-,-,-
Lenexa 4-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,182,50.84%,175,48.88%,-,-,-,-,-,-
Lenexa 4-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,301,45.20%,365,54.80%,-,-,-,-,-,-
Lenexa 4-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,297,44.33%,373,55.67%,-,-,-,-,-,-
Lenexa 4-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,333,54.32%,280,45.68%,-,-,-,-,-,-
Lenexa 4-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,289,43.46%,373,56.09%,-,-,-,-,-,-
Lenexa 4-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,225,56.96%,170,43.04%,-,-,-,-,-,-
Lenexa 4-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,46.67%,64,53.33%,-,-,-,-,-,-
Lexington Twp 0-01,-,-,-,-,-,-,-,-,-,-,-,-,567,74.31%,196,25.69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lexington Twp 0-02,-,-,-,-,-,-,-,-,-,-,-,-,2,66.67%,1,33.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lexington Twp 0-03,-,-,-,-,-,-,-,-,-,-,-,-,2,66.67%,1,33.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lexington Twp 0-04,-,-,-,-,-,-,-,-,-,-,-,-,1,100.00%,0,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lexington Twp 0-05,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
McCamish Twp 0-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,100.00%
McCamish Twp 0-02,-,-,-,-,-,-,-,-,-,-,-,-,268,75.07%,89,24.93%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
McCamish Twp 0-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
Merriam 1-01,246,52.56%,218,46.58%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Merriam 1-02,379,59.50%,257,40.35%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Merriam 2-01,383,53.05%,339,46.95%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Merriam 2-02,2,66.67%,1,33.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Merriam 2-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,217,54.94%,178,45.06%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Merriam 3-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,376,55.79%,298,44.21%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Merriam 3-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,276,51.40%,261,48.60%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Merriam 4-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,357,48.57%,378,51.43%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Merriam 4-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,168,49.56%,170,50.15%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Merriam 4-03,227,54.83%,187,45.17%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mission 1-01,-,-,-,-,367,55.02%,299,44.83%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mission 1-02,-,-,-,-,238,61.98%,145,37.76%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mission 2-01,-,-,-,-,260,62.95%,149,36.08%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mission 2-02,-,-,-,-,306,56.04%,239,43.77%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mission 3-01,-,-,-,-,404,57.06%,302,42.66%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mission 3-02,-,-,-,-,193,54.83%,159,45.17%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mission 4-01,-,-,-,-,247,58.95%,170,40.57%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mission 4-02,-,-,-,-,241,41.48%,338,58.18%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mission 4-03,-,-,-,-,192,53.93%,163,45.79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mission Hills 0-01,-,-,-,-,125,23.67%,403,76.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mission Hills 0-02,-,-,-,-,192,28.79%,475,71.21%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mission Hills 0-03,-,-,-,-,93,21.63%,337,78.37%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mission Hills 0-04,-,-,-,-,187,27.91%,480,71.64%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mission Woods 0-01,-,-,-,-,55,50.93%,53,49.07%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 1-01,-,-,-,-,-,-,-,-,-,-,-,-,452,57.51%,333,42.37%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 1-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,291,56.40%,225,43.60%,-,-
Olathe 1-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,262,58.74%,184,41.26%,-,-
Olathe 1-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,473,59.72%,319,40.28%,-,-
Olathe 1-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,502,62.21%,305,37.79%,-,-
Olathe 1-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,350,66.16%,179,33.84%,-,-
Olathe 1-07,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 1-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,626,60.13%,415,39.87%,-,-
Olathe 1-09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,596,66.82%,296,33.18%,-,-
Olathe 1-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,66.67%,2,33.33%,-,-
Olathe 1-11,-,-,-,-,-,-,-,-,-,-,-,-,71,52.21%,65,47.79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olathe 1-12,-,-,-,-,-,-,-,-,-,-,-,-,21,61.76%,13,38.24%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
