PRECINCT,Candidate,Votes
HA11,Chuck Baldwin,3
HA11,Gary Johnson,11
HA11,Mitt Romney,528
HA11,WRITE-IN,7
HA21 & HA23,Barack Obama,322
HA21 & HA23,Chuck Baldwin,6
HA21 & HA23,Gary Johnson,26
HA21 & HA23,Mitt Romney,505
HA21 & HA23,WRITE-IN,8
HA22,Barack Obama,22
HA22,Chuck Baldwin,0
HA22,Gary Johnson,5
HA22,Mitt Romney,71
HA22,WRITE-IN,0
HA31,Barack Obama,334
HA31,Chuck Baldwin,8
HA31,Gary Johnson,34
HA31,Mitt Romney,631
HA31,WRITE-IN,6
HA32,Barack Obama,7
HA32,Chuck Baldwin,0
HA32,Gary Johnson,0
HA32,Mitt Romney,21
HA32,WRITE-IN,0
HA41,Barack Obama,277
HA41,Chuck Baldwin,4
HA41,Gary Johnson,16
HA41,Mitt Romney,524
HA41,WRITE-IN,7
HA42,Barack Obama,52
HA42,Chuck Baldwin,2
HA42,Gary Johnson,6
HA42,Mitt Romney,146
HA42,WRITE-IN,0
IL01,Barack Obama,82
IL01,Chuck Baldwin,4
IL01,Gary Johnson,4
IL01,Mitt Romney,385
IL01,WRITE-IN,1
IL02,Barack Obama,97
IL02,Chuck Baldwin,2
IL02,Gary Johnson,2
IL02,Mitt Romney,285
IL02,WRITE-IN,2
KE01 & 02 & 06,Barack Obama,3
KE01 & 02 & 06,Chuck Baldwin,0
KE01 & 02 & 06,Gary Johnson,0
KE01 & 02 & 06,Mitt Romney,6
KE01 & 02 & 06,WRITE-IN,0
KE03,Barack Obama,269
KE03,Chuck Baldwin,1
KE03,Gary Johnson,21
KE03,Mitt Romney,572
KE03,WRITE-IN,5
KE04,Barack Obama,13
KE04,Chuck Baldwin,0
KE04,Gary Johnson,2
KE04,Mitt Romney,23
KE04,WRITE-IN,0
KE07,Barack Obama,8
KE07,Chuck Baldwin,0
KE07,Gary Johnson,0
KE07,Mitt Romney,13
KE07,WRITE-IN,1
KE08,Barack Obama,2
KE08,Chuck Baldwin,0
KE08,Gary Johnson,0
KE08,Mitt Romney,13
KE08,WRITE-IN,0
LI,Barack Obama,57
LI,Chuck Baldwin,2
LI,Gary Johnson,3
LI,Mitt Romney,198
LI,WRITE-IN,5
MI01,Barack Obama,233
MI01,Chuck Baldwin,1
MI01,Gary Johnson,14
MI01,Mitt Romney,944
MI01,WRITE-IN,5
MI02,Barack Obama,138
MI02,Chuck Baldwin,2
MI02,Gary Johnson,7
MI02,Mitt Romney,334
MI02,WRITE-IN,0
MI03,Barack Obama,36
MI03,Chuck Baldwin,1
MI03,Gary Johnson,1
MI03,Mitt Romney,92
MI03,WRITE-IN,0
MI04 & MI05,Barack Obama,1
MI04 & MI05,Chuck Baldwin,0
MI04 & MI05,Gary Johnson,0
MI04 & MI05,Mitt Romney,3
MI04 & MI05,WRITE-IN,0
MI07,Barack Obama,5
MI07,Chuck Baldwin,0
MI07,Gary Johnson,3
MI07,Mitt Romney,7
MI07,WRITE-IN,0
MI08,Barack Obama,15
MI08,Chuck Baldwin,0
MI08,Gary Johnson,4
MI08,Mitt Romney,13
MI08,WRITE-IN,1
MI09,Barack Obama,73
MI09,Chuck Baldwin,4
MI09,Gary Johnson,7
MI09,Mitt Romney,143
MI09,WRITE-IN,1
MI11,Barack Obama,1
MI11,Chuck Baldwin,0
MI11,Gary Johnson,0
MI11,Mitt Romney,0
MI11,WRITE-IN,0
MI12,Barack Obama,48
MI12,Chuck Baldwin,0
MI12,Gary Johnson,2
MI12,Mitt Romney,60
MI12,WRITE-IN,1
MO,Barack Obama,234
MO,Chuck Baldwin,6
MO,Gary Johnson,14
MO,Mitt Romney,707
MO,WRITE-IN,5
MV01,Barack Obama,202
MV01,Chuck Baldwin,2
MV01,Gary Johnson,13
MV01,Mitt Romney,422
MV01,WRITE-IN,2
MV02,Barack Obama,487
MV02,Chuck Baldwin,4
MV02,Gary Johnson,29
MV02,Mitt Romney,1099
MV02,WRITE-IN,11
NI,Barack Obama,300
NI,Chuck Baldwin,5
NI,Gary Johnson,8
NI,Mitt Romney,832
NI,WRITE-IN,3
NI01,Barack Obama,47
NI01,Chuck Baldwin,1
NI01,Gary Johnson,5
NI01,Mitt Romney,177
NI01,WRITE-IN,0
OH01,Barack Obama,154
OH01,Chuck Baldwin,4
OH01,Gary Johnson,12
OH01,Mitt Romney,477
OH01,WRITE-IN,5
PA01,Barack Obama,50
PA01,Chuck Baldwin,3
PA01,Gary Johnson,3
PA01,Mitt Romney,200
PA01,WRITE-IN,0
PA02 & PA03,Barack Obama,46
PA02 & PA03,Chuck Baldwin,0
PA02 & PA03,Gary Johnson,3
PA02 & PA03,Mitt Romney,103
PA02 & PA03,WRITE-IN,1
PA04,Barack Obama,0
PA04,Chuck Baldwin,0
PA04,Gary Johnson,0
PA04,Mitt Romney,2
PA04,WRITE-IN,0
PA05,Barack Obama,391
PA05,Chuck Baldwin,1
PA05,Gary Johnson,25
PA05,Mitt Romney,952
PA05,WRITE-IN,9
PA06,Barack Obama,22
PA06,Chuck Baldwin,0
PA06,Gary Johnson,0
PA06,Mitt Romney,38
PA06,WRITE-IN,0
PC11,Barack Obama,165
PC11,Chuck Baldwin,2
PC11,Gary Johnson,18
PC11,Mitt Romney,349
PC11,WRITE-IN,2
PC12 & 14 & 15,Barack Obama,33
PC12 & 14 & 15,Chuck Baldwin,0
PC12 & 14 & 15,Gary Johnson,6
PC12 & 14 & 15,Mitt Romney,65
PC12 & 14 & 15,WRITE-IN,0
PC13,Barack Obama,58
PC13,Chuck Baldwin,2
PC13,Gary Johnson,0
PC13,Mitt Romney,123
PC13,WRITE-IN,0
PC21,Barack Obama,253
PC21,Chuck Baldwin,2
PC21,Gary Johnson,16
PC21,Mitt Romney,501
PC21,WRITE-IN,6
PC22 & PC23,Barack Obama,2
PC22 & PC23,Chuck Baldwin,0
PC22 & PC23,Gary Johnson,0
PC22 & PC23,Mitt Romney,6
PC22 & PC23,WRITE-IN,0
PC31,Barack Obama,171
PC31,Chuck Baldwin,5
PC31,Gary Johnson,13
PC31,Mitt Romney,271
PC31,WRITE-IN,9
PC41,Barack Obama,141
PC41,Chuck Baldwin,0
PC41,Gary Johnson,7
PC41,Mitt Romney,217
PC41,WRITE-IN,2
PC43,Barack Obama,108
PC43,Chuck Baldwin,0
PC43,Gary Johnson,2
PC43,Mitt Romney,145
PC43,WRITE-IN,0
PY01,Barack Obama,99
PY01,Chuck Baldwin,0
PY01,Gary Johnson,4
PY01,Mitt Romney,362
PY01,WRITE-IN,5
PY02,Barack Obama,16
PY02,Chuck Baldwin,0
PY02,Gary Johnson,1
PY02,Mitt Romney,59
PY02,WRITE-IN,0
RI01,Barack Obama,8
RI01,Chuck Baldwin,1
RI01,Gary Johnson,0
RI01,Mitt Romney,4
RI01,WRITE-IN,0
RI02,Barack Obama,12
RI02,Chuck Baldwin,0
RI02,Gary Johnson,1
RI02,Mitt Romney,23
RI02,WRITE-IN,0
RI03,Barack Obama,70
RI03,Chuck Baldwin,0
RI03,Gary Johnson,6
RI03,Mitt Romney,90
RI03,WRITE-IN,2
RI04,Barack Obama,122
RI04,Chuck Baldwin,2
RI04,Gary Johnson,10
RI04,Mitt Romney,71
RI04,WRITE-IN,3
RI06,Barack Obama,45
RI06,Chuck Baldwin,1
RI06,Gary Johnson,1
RI06,Mitt Romney,93
RI06,WRITE-IN,1
RI07,Barack Obama,164
RI07,Chuck Baldwin,5
RI07,Gary Johnson,12
RI07,Mitt Romney,141
RI07,WRITE-IN,3
RO01,Barack Obama,86
RO01,Chuck Baldwin,2
RO01,Gary Johnson,7
RO01,Mitt Romney,275
RO01,WRITE-IN,0
RO02,Barack Obama,11
RO02,Chuck Baldwin,0
RO02,Gary Johnson,2
RO02,Mitt Romney,51
RO02,WRITE-IN,0
RO03,Barack Obama,70
RO03,Chuck Baldwin,1
RO03,Gary Johnson,2
RO03,Mitt Romney,224
RO03,WRITE-IN,2
RO04,Barack Obama,12
RO04,Chuck Baldwin,1
RO04,Gary Johnson,1
RO04,Mitt Romney,19
RO04,WRITE-IN,0
SA01,Barack Obama,296
SA01,Chuck Baldwin,5
SA01,Gary Johnson,32
SA01,Mitt Romney,656
SA01,WRITE-IN,8
SA02,Barack Obama,233
SA02,Chuck Baldwin,5
SA02,Gary Johnson,12
SA02,Mitt Romney,483
SA02,WRITE-IN,3
SH,Barack Obama,126
SH,Chuck Baldwin,2
SH,Gary Johnson,4
SH,Mitt Romney,636
SH,WRITE-IN,3
UN01,Barack Obama,148
UN01,Chuck Baldwin,4
UN01,Gary Johnson,7
UN01,Mitt Romney,851
UN01,WRITE-IN,1
UN02,Barack Obama,8
UN02,Chuck Baldwin,0
UN02,Gary Johnson,0
UN02,Mitt Romney,74
UN02,WRITE-IN,0
VA,Barack Obama,140
VA,Chuck Baldwin,0
VA,Gary Johnson,15
VA,Mitt Romney,326
VA,WRITE-IN,4
VC11,Barack Obama,182
VC11,Chuck Baldwin,2
VC11,Gary Johnson,20
VC11,Mitt Romney,555
VC11,WRITE-IN,3
VC21,Barack Obama,201
VC21,Chuck Baldwin,1
VC21,Gary Johnson,17
VC21,Mitt Romney,525
VC21,WRITE-IN,4
VC31,Barack Obama,162
VC31,Chuck Baldwin,3
VC31,Gary Johnson,15
VC31,Mitt Romney,484
VC31,WRITE-IN,3
VC32 & 42 & 43,Barack Obama,62
VC32 & 42 & 43,Chuck Baldwin,2
VC32 & 42 & 43,Gary Johnson,3
VC32 & 42 & 43,Mitt Romney,173
VC32 & 42 & 43,WRITE-IN,1
VC41,Barack Obama,138
VC41,Chuck Baldwin,2
VC41,Gary Johnson,8
VC41,Mitt Romney,400
VC41,WRITE-IN,5
VI,Barack Obama,63
VI,Chuck Baldwin,2
VI,Gary Johnson,3
VI,Mitt Romney,160
VI,WRITE-IN,0
WA01,Barack Obama,15
WA01,Chuck Baldwin,0
WA01,Gary Johnson,1
WA01,Mitt Romney,57
WA01,WRITE-IN,0
WA02,Barack Obama,46
WA02,Chuck Baldwin,1
WA02,Gary Johnson,5
WA02,Mitt Romney,150
WA02,WRITE-IN,0
WA03,Barack Obama,10
WA03,Chuck Baldwin,0
WA03,Gary Johnson,0
WA03,Mitt Romney,43
WA03,WRITE-IN,1
WA04,Barack Obama,4
WA04,Chuck Baldwin,0
WA04,Gary Johnson,1
WA04,Mitt Romney,10
WA04,WRITE-IN,0
