COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Democratic,REGISTERED VOTERS - Republican,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - Democratic,BALLOTS CAST - Republican,BALLOTS CAST BLANK,DEM For President,DEM For President,DEM For President,DEM For President,DEM For President,DEM For President,DEM For President,REP For President,REP For President,REP For President,REP For President,REP For President,REP For President,REP For President
177,1301,Ward Pct 1301,2,0,2,0,0,0,0,0,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted
177,1302,Ward Pct 1302,296,104,90,102,9,9,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0
177,1304,Ward Pct 1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,1305,Ward Pct 1305,38,14,21,3,7,5,2,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0
177,1306,Ward Pct 1306,201,35,119,47,19,4,15,0,0,0,0,4,0,0,0,8,7,0,0,0,0,0
177,1307,Ward Pct 1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,1308,Ward Pct 1308,12,0,9,3,0,0,0,0,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted,Redacted
177,1309,Ward Pct 1309,166,33,107,26,54,15,39,0,0,0,0,15,0,0,0,23,11,1,1,3,0,0
177,1312,Ward Pct 1312,953,211,449,293,66,22,44,0,0,0,0,18,4,0,0,32,10,1,1,0,0,0
177,1313,Ward Pct 1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,1321,Ward Pct 1321,144,47,46,51,12,4,8,0,0,0,0,4,0,0,0,6,2,0,0,0,0,0
177,1322,Ward Pct 1322,131,33,51,47,12,6,6,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0
177,1330,Ward Pct 1330,356,106,142,108,54,26,28,0,0,0,0,22,4,0,0,17,6,0,0,5,0,0
177,1401,Ward Pct 1401,908,266,377,265,93,33,60,0,0,0,0,31,2,0,0,36,18,3,1,2,0,0
177,1402,Ward Pct 1402,816,217,384,215,89,33,56,0,3,0,0,27,3,0,0,43,8,3,0,2,0,0
177,1403,Ward Pct 1403,452,120,239,93,62,16,46,0,0,0,0,13,3,0,0,32,9,2,0,3,0,0
177,1404,Ward Pct 1404,1084,246,591,247,113,30,83,0,1,1,0,26,2,0,0,52,27,0,1,3,0,0
177,1405,Ward Pct 1405,504,98,319,87,70,14,56,0,0,0,0,12,2,0,0,29,23,1,0,3,0,0
177,1501,Ward Pct 1501,851,267,286,298,60,24,36,0,0,1,0,21,2,0,0,29,5,0,0,2,0,0
177,1502,Ward Pct 1502,541,178,219,144,66,31,35,0,2,0,0,27,2,0,0,27,5,1,0,2,0,0
177,1503,Ward Pct 1503,73,20,37,16,3,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
177,ZZZ,COUNTY TOTALS,114362,35244,43115,36003,9764,3986,5778,4,160,50,45,3367,362,1,1,3933,1259,172,43,368,0,3
