"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
43,"DARLINGTON TOWNSHIP TREASURER (Vote For 1)","Write-in","NP",60,100.00,432,350,2,2,"0","0"
44,"EMMA TOWNSHIP TRUSTEE (Vote For 1)","Preston Neufeld","REP",273,98.91,394,315,1,1,"0","0"
45,"EMMA TOWNSHIP TRUSTEE (Vote For 1)","Write-in","NP",3,1.09,394,315,1,1,"0","0"
46,"EMMA TOWNSHIP TREASURER (Vote For 1)","Terry Knott","REP",272,98.55,394,315,1,1,"0","0"
47,"EMMA TOWNSHIP TREASURER (Vote For 1)","Write-in","NP",4,1.45,394,315,1,1,"0","0"
48,"GARDEN TOWNSHIP TRUSTEE (Vote For 1)","Philip K. Lohrenz","REP",151,98.69,195,172,1,1,"0","0"
49,"GARDEN TOWNSHIP TRUSTEE (Vote For 1)","Write-in","NP",2,1.31,195,172,1,1,"0","0"
50,"GARDEN TOWNSHIP TREASURER (Vote For 1)","Corey Lohrenz","REP",151,98.69,195,172,1,1,"0","0"
51,"GARDEN TOWNSHIP TREASURER (Vote For 1)","Write-in","NP",2,1.31,195,172,1,1,"0","0"
52,"HALSTEAD TOWNSHIP TRUSTEE (Vote For 1)","James Nightingale","DEM",117,90.70,250,175,1,1,"0","0"
53,"HALSTEAD TOWNSHIP TRUSTEE (Vote For 1)","Write-in","NP",12,9.30,250,175,1,1,"0","0"
54,"HALSTEAD TOWNSHIP TREASURER (Vote For 1)","Write-in","NP",22,100.00,250,175,1,1,"0","0"
55,"HIGHLAND TOWNSHIP TRUSTEE (Vote For 1)","Jacob Goering","REP",165,94.29,271,216,1,1,"0","0"
56,"HIGHLAND TOWNSHIP TRUSTEE (Vote For 1)","Write-in","NP",10,5.71,271,216,1,1,"0","0"
57,"HIGHLAND TOWNSHIP TREASURER (Vote For 1)","Michael Hiebert","REP",177,97.79,271,216,1,1,"0","0"
58,"HIGHLAND TOWNSHIP TREASURER (Vote For 1)","Write-in","NP",4,2.21,271,216,1,1,"0","0"
59,"LAKE TOWNSHIP TRUSTEE (Vote For 1)","Rodney Redinger","REP",77,100.00,118,85,1,1,"0","0"
60,"LAKE TOWNSHIP TRUSTEE (Vote For 1)","Write-in","NP",0,0.00,118,85,1,1,"0","0"
61,"LAKE TOWNSHIP TREASURER (Vote For 1)","Echo Blubaugh","REP",75,100.00,118,85,1,1,"0","0"
62,"LAKE TOWNSHIP TREASURER (Vote For 1)","Write-in","NP",0,0.00,118,85,1,1,"0","0"
63,"LAKIN TOWNSHIP TRUSTEE (Vote For 1)","Charles R. Neises","REP",120,98.36,193,141,1,1,"0","0"
64,"LAKIN TOWNSHIP TRUSTEE (Vote For 1)","Write-in","NP",2,1.64,193,141,1,1,"0","0"
65,"LAKIN TOWNSHIP TREASURER (Vote For 1)","Brenda Sooter","REP",122,99.19,193,141,1,1,"0","0"
66,"LAKIN TOWNSHIP TREASURER (Vote For 1)","Write-in","NP",1,0.81,193,141,1,1,"0","0"
67,"MACON TOWNSHIP TRUSTEE (Vote For 1)","Robert M. DuBois","REP",216,96.86,339,263,2,2,"0","0"
68,"MACON TOWNSHIP TRUSTEE (Vote For 1)","Write-in","NP",7,3.14,339,263,2,2,"0","0"
69,"MACON TOWNSHIP TREASURER (Vote For 1)","Mike Watkins","REP",224,97.39,339,263,2,2,"0","0"
70,"MACON TOWNSHIP TREASURER (Vote For 1)","Write-in","NP",6,2.61,339,263,2,2,"0","0"
71,"NEWTON TOWNSHIP TRUSTEE (Vote For 1)","Mark Klaassen","REP",897,98.46,1638,1303,4,4,"0","0"
72,"NEWTON TOWNSHIP TRUSTEE (Vote For 1)","Write-in","NP",14,1.54,1638,1303,4,4,"0","0"
73,"NEWTON TOWNSHIP TREASURER (Vote For 1)","Rodean Duerksen","REP",900,98.15,1638,1303,4,4,"0","0"
74,"NEWTON TOWNSHIP TREASURER (Vote For 1)","Write-in","NP",17,1.85,1638,1303,4,4,"0","0"
75,"PLEASANT TOWNSHIP TRUSTEE (Vote For 1)","Lynn Voth","REP",266,97.08,363,323,1,1,"0","0"
76,"PLEASANT TOWNSHIP TRUSTEE (Vote For 1)","Write-in","NP",8,2.92,363,323,1,1,"0","0"
77,"PLEASANT TOWNSHIP TREASURER (Vote For 1)","Erin Mosiman","REP",274,99.28,363,323,1,1,"0","0"
78,"PLEASANT TOWNSHIP TREASURER (Vote For 1)","Write-in","NP",2,0.72,363,323,1,1,"0","0"
79,"RICHLAND TOWNSHIP TRUSTEE (Vote For 1)","Leland J. Entz","REP",217,98.19,300,243,1,1,"0","0"
80,"RICHLAND TOWNSHIP TRUSTEE (Vote For 1)","Write-in","NP",4,1.81,300,243,1,1,"0","0"
81,"RICHLAND TOWNSHIP TREASURER (Vote For 1)","Eric Timken","REP",207,99.04,300,243,1,1,"0","0"
82,"RICHLAND TOWNSHIP TREASURER (Vote For 1)","Write-in","NP",2,0.96,300,243,1,1,"0","0"
83,"SEDGWICK TOWNSHIP TRUSTEE (Vote For 1)","Ted Stein","REP",733,99.19,1190,861,3,3,"0","0"
84,"SEDGWICK TOWNSHIP TRUSTEE (Vote For 1)","Write-in","NP",6,0.81,1190,861,3,3,"0","0"
85,"SEDGWICK TOWNSHIP TREASURER (Vote For 1)","Ruth Jacob","REP",733,99.19,1190,861,3,3,"0","0"
86,"SEDGWICK TOWNSHIP TREASURER (Vote For 1)","Write-in","NP",6,0.81,1190,861,3,3,"0","0"
87,"WALTON TOWNSHIP TRUSTEE (Vote For 1)","Gary Lanier","REP",249,97.27,379,286,2,2,"0","0"
88,"WALTON TOWNSHIP TRUSTEE (Vote For 1)","Write-in","NP",7,2.73,379,286,2,2,"0","0"
89,"WALTON TOWNSHIP TREASURER (Vote For 1)","Troy L. Smith","REP",255,98.84,379,286,2,2,"0","0"
90,"WALTON TOWNSHIP TREASURER (Vote For 1)","Write-in","NP",3,1.16,379,286,2,2,"0","0"
91,"Court of Appeals-p4 (Vote For 1)","Yes","NP",10354,80.14,23495,16273,41,41,"0","0"
92,"Court of Appeals-p4 (Vote For 1)","No","NP",2566,19.86,23495,16273,41,41,"0","0"
93,"Court of Appeals-p6 (Vote For 1)","Yes","NP",9999,78.15,23495,16273,41,41,"0","0"
94,"Court of Appeals-p6 (Vote For 1)","No","NP",2796,21.85,23495,16273,41,41,"0","0"
95,"Court of Appeals-p8 (Vote For 1)","Yes","NP",8646,68.50,23495,16273,41,41,"0","0"
96,"Court of Appeals-p8 (Vote For 1)","No","NP",3976,31.50,23495,16273,41,41,"0","0"
97,"Court of Appeals-p9 (Vote For 1)","Yes","NP",8740,69.15,23495,16273,41,41,"0","0"
98,"Court of Appeals-p9 (Vote For 1)","No","NP",3899,30.85,23495,16273,41,41,"0","0"
99,"Court of Appeals-p10 (Vote For 1)","Yes","NP",8827,69.83,23495,16273,41,41,"0","0"
100,"Court of Appeals-p10 (Vote For 1)","No","NP",3814,30.17,23495,16273,41,41,"0","0"
101,"Court of Appeals-p12 (Vote For 1)","Yes","NP",9011,71.35,23495,16273,41,41,"0","0"
102,"Court of Appeals-p12 (Vote For 1)","No","NP",3618,28.65,23495,16273,41,41,"0","0"
103,"Court of Appeals-p14 (Vote For 1)","Yes","NP",9884,78.33,23495,16273,41,41,"0","0"
104,"Court of Appeals-p14 (Vote For 1)","No","NP",2734,21.67,23495,16273,41,41,"0","0"
105,"District Court-91 (Vote For 1)","Yes","NP",10333,80.75,23495,16273,41,41,"0","0"
106,"District Court-91 (Vote For 1)","No","NP",2463,19.25,23495,16273,41,41,"0","0"
107,"District Court-94 (Vote For 1)","Yes","NP",10343,79.32,23495,16273,41,41,"0","0"
108,"District Court-94 (Vote For 1)","No","NP",2696,20.68,23495,16273,41,41,"0","0"
109,"Magistrate Judge-D9p2 (Vote For 1)","Yes","NP",9968,80.87,23495,16273,41,41,"0","0"
110,"Magistrate Judge-D9p2 (Vote For 1)","No","NP",2358,19.13,23495,16273,41,41,"0","0"
111,"Sale of Alcoholic Liquor (Vote For 1)","Yes","NP",10372,66.96,23495,16273,41,41,"0","0"
112,"Sale of Alcoholic Liquor (Vote For 1)","No","NP",5117,33.04,23495,16273,41,41,"0","0"
