Offical Election Results
Anderson County
Contest Name,Candidate Name,Party,Absentee Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Over Votes,Under Votes,Vote For
"City of Garnett Commissioner","Jody M. Cole","","60","460","11","531","4","4","0","118","1"
"City of Garnett Commissioner","Mark Powls","","0","0","0","0","4","4","0","118","1"
"City of Garnett Commissioner","WRITE-IN","","6","47","0","53","4","4","0","118","1"
"Retain Court of Appeals Judge, Warner","Yes","","101","1343","28","1472","17","17","0","743","1"
"Retain Court of Appeals Judge, Warner","No","","47","674","10","731","17","17","0","743","1"
"Retain Court of Appeals Judge, Bruns","Yes","","106","1339","26","1471","17","17","2","766","1"
"Retain Court of Appeals Judge, Bruns","No","","42","663","11","716","17","17","2","766","1"
"Retain Court of Appeals Judge, Atcheson","Yes","","89","1146","25","1260","17","17","1","804","1"
"Retain Court of Appeals Judge, Atcheson","No","","56","829","11","896","17","17","1","804","1"
"Retain Court of Appeals Judge, Arnold-Burger","Yes","","89","1125","22","1236","17","17","0","806","1"
"Retain Court of Appeals Judge, Arnold-Burger","No","","57","853","14","924","17","17","0","806","1"
"Retain Court of Appeals Judge, Pickering","Yes","","84","1133","23","1240","17","17","0","808","1"
"Retain Court of Appeals Judge, Pickering","No","","61","845","13","919","17","17","0","808","1"
"Retain Court of Appeals Judge, Coble","Yes","","87","1148","26","1261","17","17","0","813","1"
"Retain Court of Appeals Judge, Coble","No","","58","825","11","894","17","17","0","813","1"
"Retain Court of Appeals Judge, Gardner","Yes","","102","1364","29","1495","17","17","0","791","1"
"Retain Court of Appeals Judge, Gardner","No","","44","630","7","681","17","17","0","791","1"
"Retain District 4 Division 1 Court Judge, Wine","Yes","","105","1415","29","1549","17","17","1","794","1"
"Retain District 4 Division 1 Court Judge, Wine","No","","39","570","6","615","17","17","1","794","1"
"Retain District 4 Division 2 Court Judge, Witteman","Yes","","107","1412","30","1549","17","17","0","793","1"
"Retain District 4 Division 2 Court Judge, Witteman","No","","37","573","6","616","17","17","0","793","1"
"Retain District 4 Division 3 Court Judge, Godderz","Yes","","124","1568","36","1728","17","17","0","606","1"
"Retain District 4 Division 3 Court Judge, Godderz","No","","38","537","3","578","17","17","0","606","1"
