Precinct,,Pos. 4 KS Supreme Court Justice- Eric S. Rosen,,,,Pos. 4 KS Court of Appeals Judge-Sarah E. Warner,,,,Pos. 6 KS Court of Appeals Judge-David E. Bruns,,,Pos. 8 KS Court of Appeals Judge-G. Gordon Atcheson,,,,,
KC 5-4,,124,,55,,134,,43,,118,59,,128,48,,,,
KC 5-5,,174,,65,,184,,50,,170,65,,167,63,,,,
KC 6-1,,203,,77,,217,,62,,187,93,,189,83,,,,
KC 6-2,,61,,24,,62,,19,,59,19,,60,22,,,,
KC 7-1,,197,,77,,211,,62,,193,77,,195,75,,,,
KC 7-2,,195,,67,,202,,57,,182,74,,184,71,,,,
KC 7-3,,230,,82,,238,,72,,214,93,,218,89,,,,
KC 7-4,,363,,147,,374,,130,,364,140,,351,146,,,,
KC 7-5,,66,,30,,76,,22,,68,27,,70,24,,,,
KC 7-6,,460,,170,,489,,145,,435,188,,462,157,,,,
KC 7-7,,154,,51,,162,,42,,140,61,,144,55,,,,
KC 7-8,,580,,210,,617,,157,,548,230,,568,203,,,,
KC 7-9,,433,,172,,451,,148,,431,161,,417,172,,,,
KC 8-1,,392,,121,,411,,97,,299,204,,378,127,,,,
KC 8-2,,421,,141,,434,,125,,323,233,,408,150,,,,
KC 8-3,,557,,165,,554,,151,,417,278,,526,174,,,,
KC 8-4,,390,,146,,413,,123,,356,176,,380,150,,,,
KC 9-1,,44,,29,,58,,17,,53,20,,41,33,,,,
KC 9-2,,273,,101,,294,,75,,272,102,,268,102,,,,
KC 9-3,,538,,201,,568,,167,,500,233,,514,206,,,,
KC 9-4,,72,,38,,74,,32,,73,36,,71,37,,,,
KC 9-5,,9,,13,,12,,10,,11,12,,9,14,,,,
KC 9-6,,321,,118,,334,,101,,316,122,,307,125,,,,
KC 9-7,,305,,141,,329,,111,,302,138,,300,136,,,,
KC 9-8,,195,,81,,198,,69,,190,80,,180,86,,,,
KC 9-9,,132,,66,,140,,54,,133,61,,131,61,,,,
KC 9-10,,436,,192,,462,,151,,435,181,,424,183,,,,
KC 9-11,,466,,186,,490,,158,,439,213,,470,177,,,,
KC 9-12,,364,,197,,420,,128,,375,172,,345,199,,,,
KC 9-13,,242,,117,,270,,86,,233,121,,229,119,,,,
KC 9-14,,310,,153,,347,,118,,321,137,,305,146,,,,
KC 9-15,,0,,0,,0,,0,,0,0,,0,0,,,,
KC 9-16,,899,,331,,952,,276,,868,353,,903,311,,,,
KC 10-1,,278,,99,,270,,102,,254,122,,258,117,,,,
KC 10-2,,464,,173,,466,,163,,438,193,,444,180,,,,
KC 10-3,,14,,14,,17,,12,,11,18,,13,16,,,,
KC 10-4,,189,,69,,201,,54,,175,81,,195,66,,,,
KC 10-5,,368,,137,,392,,109,,344,158,,356,141,,,,
KC 11-1,,400,,141,,410,,123,,372,166,,386,145,,,,
KC 11-2,,262,,119,,275,,103,,246,130,,258,112,,,,
KC 11-3,,452,,166,,462,,149,,428,180,,419,183,,,,
KC 11-4,,344,,114,,334,,122,,331,127,,325,124,,,,
KC 11-5,,410,,140,,409,,126,,386,155,,377,157,,,,
KC 11-6,,289,,111,,309,,86,,276,117,,292,99,,,,
KC 11-7,,251,,81,,252,,74,,234,85,,239,82,,,,
KC 11-8,,348,,121,,351,,109,,328,133,,332,117,,,,
KC 11-9,,302,,117,,319,,98,,282,139,,289,127,,,,
KC 11-10,,428,,149,,455,,119,,414,157,,426,137,,,,
KC 11-11,,484,,179,,526,,123,,483,173,,456,187,,,,
KC 11-12,,105,,50,,112,,39,,98,52,,101,51,,,,
KC 12-1,,394,,151,,423,,117,,354,188,,385,150,,,,
KC 12-2,,188,,70,,202,,57,,171,86,,187,69,,,,
KC 12-3,,372,,140,,393,,114,,333,168,,364,138,,,,
KC 12-4,,391,,154,,409,,122,,370,162,,377,153,,,,
KC 12-5,,358,,144,,381,,112,,348,135,,348,131,,,,
KC 12-6,,344,,156,,377,,119,,359,132,,342,152,,,,
KC 12-7,,302,,135,,344,,99,,319,120,,303,136,,,,
KC 12-8,,367,,152,,385,,125,,345,162,,350,153,,,,
KC 12-9,,334,,144,,353,,118,,322,150,,322,146,,,,
KC 12-10,,231,,114,,249,,89,,240,98,,216,113,,,,
KC 12-11,,103,,73,,129,,47,,123,52,,107,66,,,,
KC 13-1,,376,,125,,380,,118,,346,148,,355,134,,,,
KC 13-2,,332,,131,,339,,118,,326,135,,326,128,,,,
KC 13-3,,293,,113,,301,,102,,285,117,,275,123,,,,
KC 13-4,,217,,70,,204,,80,,207,78,,199,81,,,,
KC 13-5,,310,,141,,322,,130,,309,135,,304,140,,,,
KC 13-6,,302,,126,,315,,109,,292,132,,293,125,,,,
KC 13-7,,222,,101,,247,,77,,221,96,,220,96,,,,
KC 13-8,,260,,90,,274,,70,,247,97,,239,102,,,,
KC 13-9,,342,,130,,355,,115,,343,131,,336,128,,,,
KC 14-1,,394,,154,,412,,132,,394,145,,382,158,,,,
KC 14-2,,200,,72,,210,,56,,199,67,,187,73,,,,
KC 14-3,,183,,73,,200,,58,,168,85,,176,75,,,,
KC 14-4,,346,,117,,354,,104,,334,128,,328,123,,,,
KC 14-5,,314,,120,,317,,110,,301,123,,295,124,,,,
KC 14-6,,402,,164,,426,,129,,394,164,,393,162,,,,
KC 14-7,,508,,216,,544,,181,,507,214,,501,216,,,,
KC 14-8,,391,,160,,431,,112,,391,158,,381,160,,,,
KC 14-9,,217,,101,,235,,77,,231,85,,210,103,,,,
KC 14-10,,780,,295,,846,,217,,783,279,,754,299,,,,
KC 14-11,,393,,146,,422,,117,,382,159,,387,149,,,,
KC 14-12,,788,,274,,815,,227,,763,283,,759,282,,,,
KC 14-13,,565,,213,,606,,164,,559,210,,567,197,,,,
KC 14-14,,839,,333,,901,,251,,834,310,,809,315,,,,
KC 14-15,,777,,294,,846,,214,,773,283,,762,286,,,,
KC 14-16,,231,,87,,256,,63,,244,80,,232,88,,,,
QC 1-1,,11,,8,,15,,3,,11,6,,9,8,,,,
Totals,,"34,735",,"13,602",,"36,696",,"11,117",,"33,436","14,279",,"33,658","13,644",,,,
Precinct,,Pos. 9 KS Court of Appeals Judge-Karen M. Arnold-Burger,,,,Pos. 14 KS Court of Appeals Judge-Kathryn Gardner,,,,,,,,,,,,
,,YES,,NO,,YES,,NO,,,,,,,,,,
BS 1-1,,498,,188,,499,,189,,,,,,,,,,
BS 2-1,,340,,192,,368,,169,,,,,,,,,,
BS 3-1,,544,,217,,558,,204,,,,,,,,,,
BS 4-1,,719,,283,,722,,278,,,,,,,,,,
DE 1-1,,15,,8,,15,,8,,,,,,,,,,
ED 1-1,,887,,405,,927,,367,,,,,,,,,,
ED 2-1,,151,,61,,158,,52,,,,,,,,,,
KC 1-1,,81,,35,,81,,35,,,,,,,,,,
KC 1-2,,87,,38,,82,,44,,,,,,,,,,
KC 1-3,,88,,25,,73,,40,,,,,,,,,,
KC 2-1,,164,,56,,156,,63,,,,,,,,,,
KC 2-2,,103,,43,,102,,44,,,,,,,,,,
KC 2-3,,19,,12,,23,,10,,,,,,,,,,
KC 2-4,,115,,35,,121,,31,,,,,,,,,,
KC 2-5,,221,,73,,213,,81,,,,,,,,,,
KC 3-1,,276,,101,,267,,110,,,,,,,,,,
KC 3-2,,287,,105,,276,,118,,,,,,,,,,
KC 3-3,,48,,20,,47,,20,,,,,,,,,,
KC 3-4,,211,,68,,210,,78,,,,,,,,,,
KC 4-1,,253,,84,,240,,98,,,,,,,,,,
KC 4-2,,104,,29,,99,,34,,,,,,,,,,
KC 4-3,,199,,61,,185,,78,,,,,,,,,,
KC 4-4,,346,,93,,311,,125,,,,,,,,,,
KC 5-1,,309,,114,,296,,128,,,,,,,,,,
KC 5-2,,122,,41,,120,,44,,,,,,,,,,
KC 5-3,,122,,38,,120,,39,,,,,,,,,,
KC 5-4,,127,,48,,122,,52,,,,,,,,,,
KC 5-5,,171,,62,,172,,60,,,,,,,,,,
KC 6-1,,187,,81,,193,,82,,,,,,,,,,
KC 6-2,,56,,23,,58,,19,,,,,,,,,,
KC 7-1,,194,,78,,190,,78,,,,,,,,,,
KC 7-2,,188,,67,,190,,66,,,,,,,,,,
KC 7-3,,221,,87,,223,,89,,,,,,,,,,
KC 7-4,,348,,146,,358,,135,,,,,,,,,,
KC 7-5,,71,,23,,69,,24,,,,,,,,,,
KC 7-6,,463,,164,,438,,181,,,,,,,,,,
KC 7-7,,145,,55,,142,,58,,,,,,,,,,
KC 7-8,,589,,181,,578,,188,,,,,,,,,,
KC 7-9,,418,,168,,428,,156,,,,,,,,,,
KC 8-1,,403,,106,,319,,187,,,,,,,,,,
KC 8-2,,424,,136,,346,,214,,,,,,,,,,
KC 8-3,,547,,152,,421,,273,,,,,,,,,,
KC 8-4,,394,,134,,359,,171,,,,,,,,,,
KC 9-1,,43,,29,,51,,22,,,,,,,,,,
KC 9-2,,278,,90,,275,,95,,,,,,,,,,
KC 9-3,,529,,198,,502,,219,,,,,,,,,,
KC 9-4,,72,,34,,75,,34,,,,,,,,,,
KC 9-5,,11,,12,,10,,12,,,,,,,,,,
KC 9-6,,336,,98,,321,,111,,,,,,,,,,
KC 9-7,,296,,134,,285,,148,,,,,,,,,,
KC 9-8,,196,,66,,199,,69,,,,,,,,,,
KC 9-9,,130,,59,,127,,63,,,,,,,,,,
KC 9-10,,446,,163,,437,,175,,,,,,,,,,
KC 9-11,,474,,170,,450,,193,,,,,,,,,,
KC 9-12,,368,,174,,384,,157,,,,,,,,,,
KC 9-13,,240,,111,,244,,108,,,,,,,,,,
KC 9-14,,315,,139,,320,,133,,,,,,,,,,
KC 9-15,,0,,0,,0,,0,,,,,,,,,,
KC 9-16,,912,,303,,883,,331,,,,,,,,,,
KC 10-1,,270,,100,,257,,115,,,,,,,,,,
KC 10-2,,462,,167,,455,,176,,,,,,,,,,
KC 10-3,,13,,16,,13,,15,,,,,,,,,,
KC 10-4,,191,,62,,190,,64,,,,,,,,,,
KC 10-5,,370,,123,,357,,136,,,,,,,,,,
KC 11-1,,397,,139,,380,,156,,,,,,,,,,
KC 11-2,,273,,99,,261,,112,,,,,,,,,,
KC 11-3,,426,,172,,447,,158,,,,,,,,,,
KC 11-4,,327,,124,,333,,117,,,,,,,,,,
KC 11-5,,392,,144,,394,,141,,,,,,,,,,
KC 11-6,,288,,102,,282,,110,,,,,,,,,,
KC 11-7,,246,,75,,241,,81,,,,,,,,,,
KC 11-8,,346,,109,,348,,107,,,,,,,,,,
KC 11-9,,303,,111,,296,,124,,,,,,,,,,
KC 11-10,,422,,133,,414,,152,,,,,,,,,,
KC 11-11,,476,,172,,485,,159,,,,,,,,,,
KC 11-12,,104,,47,,95,,54,,,,,,,,,,
KC 12-1,,401,,134,,350,,187,,,,,,,,,,
KC 12-2,,187,,68,,169,,82,,,,,,,,,,
KC 12-3,,371,,134,,347,,152,,,,,,,,,,
KC 12-4,,376,,150,,377,,154,,,,,,,,,,
KC 12-5,,361,,126,,353,,129,,,,,,,,,,
KC 12-6,,346,,140,,364,,127,,,,,,,,,,
KC 12-7,,302,,133,,315,,119,,,,,,,,,,
KC 12-8,,358,,142,,349,,155,,,,,,,,,,
KC 12-9,,337,,126,,329,,133,,,,,,,,,,
KC 12-10,,212,,122,,226,,109,,,,,,,,,,
KC 12-11,,110,,64,,125,,48,,,,,,,,,,
KC 13-1,,366,,122,,360,,132,,,,,,,,,,
KC 13-2,,330,,123,,317,,140,,,,,,,,,,
KC 13-3,,293,,108,,283,,117,,,,,,,,,,
KC 13-4,,202,,76,,210,,69,,,,,,,,,,
KC 13-5,,309,,130,,305,,135,,,,,,,,,,
KC 13-6,,296,,119,,297,,122,,,,,,,,,,
KC 13-7,,223,,98,,224,,92,,,,,,,,,,
KC 13-8,,246,,88,,252,,86,,,,,,,,,,
KC 13-9,,338,,122,,342,,124,,,,,,,,,,
KC 14-1,,383,,151,,383,,153,,,,,,,,,,
KC 14-2,,194,,67,,198,,64,,,,,,,,,,
KC 14-3,,180,,72,,180,,72,,,,,,,,,,
KC 14-4,,326,,121,,328,,127,,,,,,,,,,
KC 14-5,,295,,127,,301,,122,,,,,,,,,,
KC 14-6,,394,,157,,398,,154,,,,,,,,,,
KC 14-7,,510,,208,,512,,203,,,,,,,,,,
KC 14-8,,394,,150,,401,,145,,,,,,,,,,
KC 14-9,,213,,93,,234,,76,,,,,,,,,,
KC 14-10,,766,,288,,785,,262,,,,,,,,,,
KC 14-11,,401,,136,,386,,148,,,,,,,,,,
KC 14-12,,772,,263,,764,,271,,,,,,,,,,
KC 14-13,,572,,184,,544,,209,,,,,,,,,,
KC 14-14,,825,,298,,809,,315,,,,,,,,,,
KC 14-15,,771,,273,,757,,281,,,,,,,,,,
KC 14-16,,237,,82,,249,,69,,,,,,,,,,
QC 1-1,,9,,8,,11,,6,,,,,,,,,,
Totals,,"34,413",,"12,814",,"33,820",,"13,456",,,,,,,,,,
