Offical Election Results
Douglas County
Contest Name,Candidate Name,Party,Advanced Voting Votes,Absentee Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"State Rep 45","WRITE-IN 121","","162","0","138","3","303","17","17","11498"
"State Rep 46","Brooklynne Mosley","Democratic","3453","0","2985","213","6651","18","18","6764"
"State Rep 46","WRITE-IN 124","","46","0","57","10","113","18","18","6764"
"KSRep43","Bill Sutton","Republican","147","0","95","2","244","2","2","252"
"KSRep43","WRITE-IN 1105","","6","0","2","0","8","2","2","252"
"KsRep47","Ronald B. Ellis","Republican","511","0","631","14","1156","7","7","2240"
"KsRep47","Mary T. Williams","Democratic","712","0","360","10","1082","7","7","2240"
"KsRep47","WRITE-IN 1108","","1","0","1","0","2","7","7","2240"
"KSRep117","Adam Turk","Republican","746","0","747","24","1517","6","6","2768"
"KSRep117","Bill Hammond","Democratic","857","0","370","18","1245","6","6","2768"
"KSRep117","WRITE-IN 1111","","3","0","3","0","6","6","6","2768"
"SBOE Dist 6","Beryl Ann New","Democratic","16917","0","9979","796","27692","70","70","36756"
"SBOE Dist 6","Bruce Schultz","Republican","4712","0","3998","294","9004","70","70","36756"
"SBOE Dist 6","WRITE-IN 144","","25","0","33","2","60","70","70","36756"
"SBOE Dist 4","Kris Meyer","Democratic","6512","0","3300","177","9989","32","32","18801"
"SBOE Dist 4","Connie O'Brien","Republican","4363","0","4256","176","8795","32","32","18801"
"SBOE Dist 4","WRITE-IN 845","","9","0","8","0","17","32","32","18801"
"District Attorney","Dakota Loomis","Democratic","22480","0","13027","1047","36554","102","102","56613"
"District Attorney","Mike Warner","Republican","10637","0","8875","482","19994","102","102","56613"
"District Attorney","WRITE-IN 952","","27","0","37","1","65","102","102","56613"
"County Commissioner Dist 2","Shannon Reid","Democratic","2836","0","2283","166","5285","20","20","7661"
"County Commissioner Dist 2","Brad Chun","independent","1083","0","1206","69","2358","20","20","7661"
"County Commissioner Dist 2","WRITE-IN 857","","9","0","9","0","18","20","20","7661"
"County Commission 3rd Dist","Karen L. Willey","Democratic","5098","0","2226","137","7461","20","20","12986"
"County Commission 3rd Dist","Pam McDermott","Republican","2897","0","2518","97","5512","20","20","12986"
"County Commission 3rd Dist","WRITE-IN 947","","6","0","6","1","13","20","20","12986"
"County Commision Dist 4","Gene Dorsey","Democratic","4045","0","2105","154","6304","23","23","10875"
"County Commision Dist 4","Timothy Bruce","Republican","2004","0","1678","103","3785","23","23","10875"
"County Commision Dist 4","Steven Jacob","Libertarian","357","0","386","25","768","23","23","10875"
"County Commision Dist 4","WRITE-IN 1240","","10","0","7","1","18","23","23","10875"
"County Commission 5th Dist","Erica Anderson","Democratic","3642","0","1957","163","5762","24","24","11078"
"County Commission 5th Dist","Rich Lorenzo","Republican","2420","0","2117","104","4641","24","24","11078"
"County Commission 5th Dist","Kirsten Kuhn","Libertarian","294","0","345","26","665","24","24","11078"
"County Commission 5th Dist","WRITE-IN 1243","","2","0","7","1","10","24","24","11078"
"Co Clerk","Jamie Shew","Democratic","26623","0","17103","1186","44912","102","102","46091"
"Co Clerk","WRITE-IN 863","","546","0","602","31","1179","102","102","46091"
"CO Treas","Adam T. Rains","Democratic","26042","0","16766","1169","43977","102","101","45171"
"CO Treas","WRITE-IN 866","","568","0","597","29","1194","102","101","45171"
"CO Reg of Deeds","Kent Brown","Democratic","25964","0","16714","1150","43828","102","102","44891"
"CO Reg of Deeds","WRITE-IN 869","","493","0","540","30","1063","102","102","44891"
"CO Sheriff","Jay Armbrister","Democratic","26258","0","17038","1164","44460","102","102","45794"
"CO Sheriff","WRITE-IN 872","","627","0","672","35","1334","102","102","45794"
"Lecompton City Council","Mary Jane Hoffer","","85","0","93","4","182","1","1","537"
"Lecompton City Council","Steven J. Freeman","","78","0","85","9","172","1","1","537"
"Lecompton City Council","Stephanie Confer","","73","0","89","4","166","1","1","537"
"Lecompton City Council","WRITE-IN 751","","15","0","2","0","17","1","1","537"
"Clinton Twp Trustee","Matthew Fishburn","Republican","145","0","210","1","356","1","1","381"
"Clinton Twp Trustee","WRITE-IN 816","","14","0","11","0","25","1","1","381"
"Clinton Twp Treasurer","Delaney Snyder","Democratic","168","0","157","1","326","1","1","347"
"Clinton Twp Treasurer","WRITE-IN 815","","7","0","14","0","21","1","1","347"
"Eudora Twp Trustee","Jim D. Gabriel","Republican","409","0","305","14","728","3","3","744"
"Eudora Twp Trustee","WRITE-IN 817","","13","0","3","0","16","3","3","744"
"Eudora Twp Treas","Mark Grosdidier","Republican","292","0","191","8","491","3","3","853"
"Eudora Twp Treas","Travis McCormick","independent","207","0","145","7","359","3","3","853"
"Eudora Twp Treas","WRITE-IN 818","","1","0","2","0","3","3","3","853"
"Grant Twp Trustee","Paulette M. Schwerdt","Republican","61","0","102","3","166","2","2","179"
"Grant Twp Trustee","WRITE-IN 819","","6","0","7","0","13","2","2","179"
"Grant Twp Treasurer","Emily Blodgett-Panos","Democratic","75","0","106","3","184","2","2","194"
"Grant Twp Treasurer","WRITE-IN 957","","5","0","5","0","10","2","2","194"
"Kanwaka Twp Trustee","David A. Wulfkuhle","Democratic","387","0","356","12","755","3","3","787"
"Kanwaka Twp Trustee","WRITE-IN 830","","10","0","21","1","32","3","3","787"
"Kanwaka Twp Treasurer","Martin Johnston","Republican","363","0","395","13","771","3","3","809"
"Kanwaka Twp Treasurer","WRITE-IN 833","","27","0","11","0","38","3","3","809"
"Lecompton Twp Trustee","Ed Daniels","Republican","431","0","344","19","794","5","5","821"
"Lecompton Twp Trustee","WRITE-IN 836","","14","0","13","0","27","5","5","821"
"Lecompton Twp Treasurer","Keith Noe","Republican","433","0","350","18","801","5","5","828"
"Lecompton Twp Treasurer","WRITE-IN 839","","16","0","11","0","27","5","5","828"
"Marion Twp Trustee","Mike Forth","Republican","153","0","253","3","409","1","1","439"
"Marion Twp Trustee","WRITE-IN 873","","14","0","16","0","30","1","1","439"
"Marion Twp Treasurer","Linda Lang","Republican","101","0","184","2","287","1","1","526"
"Marion Twp Treasurer","Jim Jolly","Democratic","121","0","114","3","238","1","1","526"
"Marion Twp Treasurer","WRITE-IN 876","","1","0","0","0","1","1","1","526"
"Palmyra Twp Trustee","Donald V Towns II","Republican","1545","0","1436","46","3027","7","7","3133"
"Palmyra Twp Trustee","WRITE-IN 879","","61","0","44","1","106","7","7","3133"
"Palmyra Twp Treasurer","Allen L. Rockhold","Republican","1556","0","1486","50","3092","7","7","3185"
"Palmyra Twp Treasurer","WRITE-IN 882","","59","0","33","1","93","7","7","3185"
"Wakarusa Twp Trustee","Gerald Dwyer","Democratic","544","0","212","19","775","11","11","1470"
"Wakarusa Twp Trustee","George Hunsinger","Republican","348","0","339","7","694","11","11","1470"
"Wakarusa Twp Trustee","WRITE-IN 883","","0","0","1","0","1","11","11","1470"
"Wakarusa Twp Treasurer","Eugene George","Republican","575","0","415","16","1006","11","8","1051"
"Wakarusa Twp Treasurer","WRITE-IN 884","","32","0","13","0","45","11","8","1051"
"Willow Springs Twp Trustee","Tim C Horne","Republican","274","0","351","7","632","3","3","954"
"Willow Springs Twp Trustee","Lance Jungmeyer","Democratic","222","0","97","2","321","3","3","954"
"Willow Springs Twp Trustee","WRITE-IN 889","","1","0","0","0","1","3","3","954"
"Willow Springs Twp Treasurer","Gordon Montney","Republican","379","0","411","7","797","3","3","821"
"Willow Springs Twp Treasurer","WRITE-IN 892","","17","0","6","1","24","3","3","821"
"Sarah E. Warner","YES","","20363","0","12918","818","34099","102","102","43819"
"Sarah E. Warner","NO","","5204","0","4274","242","9720","102","102","43819"
"David E. Bruns","YES","","17117","0","11526","717","29360","102","102","43183"
"David E. Bruns","NO","","8066","0","5425","332","13823","102","102","43183"
"G. Gordon Atcheson","YES","","18409","0","11607","729","30745","102","102","42538"
"G. Gordon Atcheson","NO","","6442","0","5061","290","11793","102","102","42538"
"Karen Arnold-Burger","YES","","19567","0","12122","744","32433","102","102","42760"
"Karen Arnold-Burger","NO","","5398","0","4646","283","10327","102","102","42760"
"Rachel Pickering","YES","","19364","0","12134","750","32248","102","102","42569"
"Rachel Pickering","NO","","5467","0","4579","275","10321","102","102","42569"
"Angela D. Coble","YES","","19604","0","12300","774","32678","102","102","42431"
"Angela D. Coble","NO","","5142","0","4364","247","9753","102","102","42431"
"Kathryn Gardner","YES","","17229","0","11680","710","29619","102","102","42574"
"Kathryn Gardner","NO","","7607","0","5038","310","12955","102","102","42574"
"Catherine C. Theisen","YES","","20487","0","12667","789","33943","102","102","43248"
"Catherine C. Theisen","NO","","4790","0","4275","240","9305","102","102","43248"
"James R. McCabria","YES","","18904","0","12254","719","31877","102","102","43508"
"James R. McCabria","NO","","6569","0","4761","301","11631","102","102","43508"
"Mark Simpson","YES","","20043","0","12418","766","33227","102","102","43008"
"Mark Simpson","NO","","5061","0","4466","254","9781","102","102","43008"
"Carl Folsom III","YES","","19900","0","12258","736","32894","102","102","42953"
"Carl Folsom III","NO","","5180","0","4607","272","10059","102","102","42953"
"City of Lawrence Question 1","NO","","12438","0","7158","487","20083","62","62","39551"
"City of Lawrence Question 1","YES","","11334","0","7524","610","19468","62","62","39551"
"City of Lawrence Question 2","YES","","13435","0","8416","752","22603","62","62","42005"
"City of Lawrence Question 2","NO","","11697","0","7248","457","19402","62","62","42005"
