Offical Election Results
Douglas County
Contest Name,Candidate Name,Party,Advanced Voting Votes,Absentee Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"County Commision Dist 4","Mike Kelso","Democratic","204","0","505","5","714","23","22","1815"
"County Commission 5th Dist","Erica Anderson","Democratic","240","0","635","7","882","24","23","1543"
"County Commission 5th Dist","Nicholas Matthews","Democratic","153","0","499","9","661","24","23","1543"
"County Commision Dist 4","Timothy Bruce","Republican","89","0","527","3","619","23","20","619"
"County Commission 5th Dist","Rich Lorenzo","Republican","120","0","733","6","859","24","23","859"
"Co Clerk","Jamie Shew","Democratic","2555","0","6692","102","9349","101","96","9349"
"Co Clerk","WRITE-IN 864","","27","0","171","1","199","101","60","199"
"CO Treas","Adam T. Rains","Democratic","2409","0","6437","99","8945","101","97","8945"
"CO Treas","WRITE-IN 867","","24","0","150","2","176","101","58","176"
"CO Reg of Deeds","Kent Brown","Democratic","2383","0","6388","98","8869","101","97","8869"
"CO Reg of Deeds","WRITE-IN 870","","23","0","121","1","145","101","52","145"
"CO Sheriff","Jay Armbrister","Democratic","2367","0","6349","91","8807","101","97","8807"
"CO Sheriff","WRITE-IN 950","","30","0","180","1","211","101","59","211"
"Clinton Twp Trustee","WRITE-IN 827","","1","0","6","0","7","1","1","11"
"Clinton Twp Trustee","Linda Hanney","Democratic","0","0","1","0","1","1","1","11"
"Clinton Twp Trustee","Kevin Curtis","Democratic","0","0","1","0","1","1","1","11"
"Clinton Twp Trustee","Dawn Hawkins","Democratic","0","0","1","0","1","1","1","11"
"Clinton Twp Trustee","Janet Crane","Democratic","0","0","1","0","1","1","1","11"
"Clinton Twp Trustee","Matthew Fishburn","Republican","12","0","57","0","69","1","1","69"
"Clinton Twp Treasurer","Delaney Snyder","Democratic","11","0","39","0","50","1","1","50"
"Clinton Twp Treasurer","WRITE-IN 828","","1","0","7","0","8","1","1","19"
"Clinton Twp Treasurer","Walter T. Berry","Republican","0","0","2","0","2","1","1","19"
"Clinton Twp Treasurer","Kevin Curtis","Republican","0","0","2","0","2","1","1","19"
"Clinton Twp Treasurer","Steve Dieker","Republican","0","0","2","0","2","1","1","19"
"Clinton Twp Treasurer","Delaney Snyder","Republican","0","0","1","0","1","1","1","19"
"Clinton Twp Treasurer","Joe Lieber","Republican","0","0","1","0","1","1","1","19"
"Clinton Twp Treasurer","Judy Kettle","Republican","0","0","1","0","1","1","1","19"
"Clinton Twp Treasurer","Cory Fishburn","Republican","0","0","1","0","1","1","1","19"
"Clinton Twp Treasurer","Kelvin Beilinger","Republican","0","0","1","0","1","1","1","19"
"Eudora Twp Trustee","Drapper Ormsby","Democratic","0","0","1","0","1","3","1","4"
"Eudora Twp Trustee","Travis Martin","Democratic","0","0","1","0","1","3","1","4"
"Eudora Twp Trustee","William Muggy","Democratic","0","0","1","0","1","3","1","4"
"Eudora Twp Trustee","WRITE-IN 823","","0","0","1","0","1","3","1","4"
"Eudora Twp Trustee","Jim D. Gabriel","Republican","20","0","108","0","128","3","3","128"
"Eudora Twp Treas","WRITE-IN 825","","0","0","4","0","4","3","1","9"
"Eudora Twp Treas","Travis McCormick","Democratic","0","0","2","0","2","3","1","9"
"Eudora Twp Treas","Marsha Gordon","Democratic","0","0","1","0","1","3","1","9"
"Eudora Twp Treas","William Muggy","Democratic","0","0","1","0","1","3","1","9"
"Eudora Twp Treas","Travis Martin","Democratic","0","0","1","0","1","3","1","9"
"Eudora Twp Treas","Mark Grosdidier","Republican","20","0","95","0","115","3","3","115"
"Grant Twp Trustee","WRITE-IN 821","","4","0","6","0","10","2","1","21"
"Grant Twp Trustee","Paulette Schwerdt","Democratic","3","0","1","0","4","2","1","21"
"Grant Twp Trustee","Michael Anthony Barrett","Democratic","2","0","0","0","2","2","1","21"
"Grant Twp Trustee","Mark Robbins","Democratic","0","0","1","0","1","2","1","21"
"Grant Twp Trustee","Carol Scmitt","Democratic","0","0","1","0","1","2","1","21"
"Grant Twp Trustee","Nancy Thellman","Democratic","0","0","1","0","1","2","1","21"
"Grant Twp Trustee","Doug Rendall","Democratic","0","0","1","0","1","2","1","21"
"Grant Twp Trustee","Darrell Workman","Democratic","1","0","0","0","1","2","1","21"
"Grant Twp Trustee","Paulette M. Schwerdt","Republican","5","0","12","0","17","2","2","17"
"Grant Township Treas","Emily Blodgett-Panos","Democratic","11","0","28","0","39","2","2","39"
"Grant Township Treas","WRITE-IN 959","","2","0","5","0","7","2","1","13"
"Grant Township Treas","Ashley D. Clark","Republican","0","0","1","0","1","2","1","13"
"Grant Township Treas","Bonnye Little","Republican","0","0","1","0","1","2","1","13"
"Grant Township Treas","Douglas Rendall","Republican","0","0","1","0","1","2","1","13"
"Grant Township Treas","Rachel Spotz","Republican","0","0","1","0","1","2","1","13"
"Grant Township Treas","Nyle Anderson","Republican","0","0","1","0","1","2","1","13"
"Grant Township Treas","Emily Blodgett-Panos","Republican","1","0","0","0","1","2","1","13"
"Kanwaka Twp Trustee","David A. Wulfkuhle","Democratic","24","0","70","1","95","3","2","95"
"Kanwaka Twp Trustee","WRITE-IN 831","","0","0","3","0","3","3","1","6"
"Kanwaka Twp Trustee","David Wulfkhule","Republican","0","0","1","0","1","3","1","6"
"Kanwaka Twp Trustee","Karen Smith","Republican","0","0","1","0","1","3","1","6"
"Kanwaka Twp Trustee","Tom Sloan","Republican","0","0","1","0","1","3","1","6"
"Kanwaka Twp Treasurer","WRITE-IN 835","","0","0","5","0","5","3","2","6"
"Kanwaka Twp Treasurer","Will Orvedal","Democratic","0","0","1","0","1","3","2","6"
"Kanwaka Twp Treasurer","Martin Johnston","Republican","7","0","86","0","93","3","3","93"
"Lecompton Twp Trustee","WRITE-IN 838","","3","0","10","0","13","4","2","30"
"Lecompton Twp Trustee","Randy Cree","Democratic","1","0","1","0","2","4","2","30"
"Lecompton Twp Trustee","Aiden Loveland Coster","Democratic","0","0","2","0","2","4","2","30"
"Lecompton Twp Trustee","Cheryl McLean","Democratic","0","0","1","0","1","4","2","30"
"Lecompton Twp Trustee","Gayla Bagner","Democratic","0","0","1","0","1","4","2","30"
"Lecompton Twp Trustee","Rance Roberts","Democratic","0","0","1","0","1","4","2","30"
"Lecompton Twp Trustee","Jesse D. Robbs","Democratic","0","0","1","0","1","4","2","30"
"Lecompton Twp Trustee","Ed Daniels","Democratic","0","0","1","0","1","4","2","30"
"Lecompton Twp Trustee","Doug Wingfield","Democratic","0","0","1","0","1","4","2","30"
"Lecompton Twp Trustee","Sandra Gantz","Democratic","0","0","1","0","1","4","2","30"
"Lecompton Twp Trustee","Benton Peugh","Democratic","0","0","1","0","1","4","2","30"
"Lecompton Twp Trustee","Lynle Cook","Democratic","0","0","1","0","1","4","2","30"
"Lecompton Twp Trustee","Kent Morgison","Democratic","0","0","1","0","1","4","2","30"
"Lecompton Twp Trustee","Sandra Swaggerty","Democratic","0","0","1","0","1","4","2","30"
"Lecompton Twp Trustee","Steve McDowell","Democratic","1","0","0","0","1","4","2","30"
"Lecompton Twp Trustee","Dustin Dark","Democratic","1","0","0","0","1","4","2","30"
"Lecompton Twp Trustee","Ed Daniels","Republican","12","0","121","0","133","4","4","133"
"Lecompton Twp Treasurer","WRITE-IN 841","","1","0","8","0","9","4","2","19"
"Lecompton Twp Treasurer","Mike Stewart","Democratic","0","0","1","0","1","4","2","19"
"Lecompton Twp Treasurer","David Bogner","Democratic","0","0","1","0","1","4","2","19"
"Lecompton Twp Treasurer","Carol Howard","Democratic","0","0","1","0","1","4","2","19"
"Lecompton Twp Treasurer","R. Gayon Stanley","Democratic","0","0","1","0","1","4","2","19"
"Lecompton Twp Treasurer","Jesse D. Robbs","Democratic","0","0","1","0","1","4","2","19"
"Lecompton Twp Treasurer","Doug Wingfield","Democratic","0","0","1","0","1","4","2","19"
"Lecompton Twp Treasurer","Bianca Storlazzi","Democratic","0","0","1","0","1","4","2","19"
"Lecompton Twp Treasurer","Lynle Cook","Democratic","0","0","1","0","1","4","2","19"
"Lecompton Twp Treasurer","Landen Swaggerty","Democratic","0","0","1","0","1","4","2","19"
"Lecompton Twp Treasurer","Karen Abraham","Democratic","1","0","0","0","1","4","2","19"
"Lecompton Twp Treasurer","Keith Noe","Republican","13","0","122","0","135","4","4","135"
"Marion Twp Trustee","WRITE-IN 875","","4","0","10","0","14","1","1","24"
"Marion Twp Trustee","Mike Forth","Democratic","0","0","2","0","2","1","1","24"
"Marion Twp Trustee","David Weakly","Democratic","0","0","1","0","1","1","1","24"
"Marion Twp Trustee","Nancy Lang","Democratic","0","0","1","0","1","1","1","24"
"Marion Twp Trustee","Harold Lang","Democratic","0","0","1","0","1","1","1","24"
"Marion Twp Trustee","Rebecca Mardis","Democratic","0","0","1","0","1","1","1","24"
"Marion Twp Trustee","Jimmy Jolly","Democratic","0","0","1","0","1","1","1","24"
"Marion Twp Trustee","James Lock","Democratic","1","0","0","0","1","1","1","24"
"Marion Twp Trustee","Lee Boyd","Democratic","1","0","0","0","1","1","1","24"
"Marion Twp Trustee","Chad Voigt","Democratic","1","0","0","0","1","1","1","24"
"Marion Twp Trustee","Mike Millburn","Democratic","0","0","0","0","0","1","1","24"
"Marion Twp Trustee","WRITE-IN 874","","0","0","30","1","31","1","1","76"
"Marion Twp Trustee","Mike Forth","Republican","0","0","25","1","26","1","1","76"
"Marion Twp Trustee","Linda Lang","Republican","0","0","6","0","6","1","1","76"
"Marion Twp Trustee","Todd Goodyear","Republican","0","0","4","0","4","1","1","76"
"Marion Twp Trustee","Jim Jolly","Republican","0","0","3","0","3","1","1","76"
"Marion Twp Trustee","Daniel Lang","Republican","0","0","3","0","3","1","1","76"
"Marion Twp Trustee","Jonathan Fawl","Republican","0","0","1","0","1","1","1","76"
"Marion Twp Trustee","John P. Lang","Republican","0","0","1","0","1","1","1","76"
"Marion Twp Trustee","Alean Detrich","Republican","0","0","0","1","1","1","1","76"
"Marion Twp Trustee","Jimmy Jolly","Republican","0","0","0","0","0","1","1","76"
"Marion Twp Trustee","Mike Millburn","Republican","0","0","0","0","0","1","1","76"
"Marion Twp Trustee","James Lock","Republican","0","0","0","0","0","1","1","76"
"Marion Twp Trustee","Lee Boyd","Republican","0","0","0","0","0","1","1","76"
"Marion Twp Treasurer","WRITE-IN 878","","4","0","8","0","12","1","1","24"
"Marion Twp Treasurer","James Jolly","Democratic","1","0","3","0","4","1","1","24"
"Marion Twp Treasurer","Linda Lang","Democratic","0","0","3","0","3","1","1","24"
"Marion Twp Treasurer","Mary Lang","Democratic","0","0","1","0","1","1","1","24"
"Marion Twp Treasurer","Mike Forth","Democratic","0","0","1","0","1","1","1","24"
"Marion Twp Treasurer","Ardyth Millburn","Democratic","1","0","0","0","1","1","1","24"
"Marion Twp Treasurer","Maggie Lock","Democratic","1","0","0","0","1","1","1","24"
"Marion Twp Treasurer","Charles Thomas","Democratic","1","0","0","0","1","1","1","24"
"Marion Twp Treasurer","Linda Lang","Republican","0","0","27","1","28","1","1","67"
"Marion Twp Treasurer","WRITE-IN 877","","0","0","27","1","28","1","1","67"
"Marion Twp Treasurer","James E. Jolly","Republican","0","0","5","0","5","1","1","67"
"Marion Twp Treasurer","Daniel Lang","Republican","0","0","3","0","3","1","1","67"
"Marion Twp Treasurer","Mike Forth","Republican","0","0","2","0","2","1","1","67"
"Marion Twp Treasurer","Alan Detrich","Republican","0","0","0","1","1","1","1","67"
"Palmyra Twp Trustee","WRITE-IN 881","","9","0","34","1","44","7","6","72"
"Palmyra Twp Trustee","Cotter Mitchel","Democratic","0","0","3","0","3","7","6","72"
"Palmyra Twp Trustee","Alan Rockhold","Democratic","0","0","2","0","2","7","6","72"
"Palmyra Twp Trustee","Betsy Armbrister","Democratic","1","0","1","0","2","7","6","72"
"Palmyra Twp Trustee","Dennis Arjo","Democratic","0","0","2","0","2","7","6","72"
"Palmyra Twp Trustee","Russ Harding","Democratic","0","0","1","0","1","7","6","72"
"Palmyra Twp Trustee","Randy DeMerserman","Democratic","0","0","1","0","1","7","6","72"
"Palmyra Twp Trustee","Roger Boyd","Democratic","0","0","1","0","1","7","6","72"
"Palmyra Twp Trustee","Robert Flaherty","Democratic","0","0","1","0","1","7","6","72"
"Palmyra Twp Trustee","Justin Shafer","Democratic","0","0","1","0","1","7","6","72"
"Palmyra Twp Trustee","Janell Johnston","Democratic","0","0","1","0","1","7","6","72"
"Palmyra Twp Trustee","Josepth Bathke","Democratic","0","0","1","0","1","7","6","72"
"Palmyra Twp Trustee","Amy Albright","Democratic","0","0","1","0","1","7","6","72"
"Palmyra Twp Trustee","Denny Johnson","Democratic","0","0","1","0","1","7","6","72"
"Palmyra Twp Trustee","William Wilson","Democratic","0","0","1","0","1","7","6","72"
"Palmyra Twp Trustee","Doug Davison","Democratic","0","0","1","0","1","7","6","72"
"Palmyra Twp Trustee","Emma Bailey","Democratic","1","0","0","0","1","7","6","72"
"Palmyra Twp Trustee","Cassy Bailey","Democratic","1","0","0","0","1","7","6","72"
"Palmyra Twp Trustee","Paul Gottesburen","Democratic","1","0","0","0","1","7","6","72"
"Palmyra Twp Trustee","Nicole King","Democratic","1","0","0","0","1","7","6","72"
"Palmyra Twp Trustee","Sarah Christian","Democratic","1","0","0","0","1","7","6","72"
"Palmyra Twp Trustee","Katie Skinner","Democratic","1","0","0","0","1","7","6","72"
"Palmyra Twp Trustee","Crystal Harris","Democratic","1","0","0","0","1","7","6","72"
"Palmyra Twp Trustee","Steve Wessel","Democratic","0","0","0","1","1","7","6","72"
"Palmyra Twp Trustee","Linda Lang","Democratic","0","0","0","0","0","7","6","72"
"Palmyra Twp Trustee","James Jolly","Democratic","0","0","0","0","0","7","6","72"
"Palmyra Twp Trustee","Landy Lang","Democratic","0","0","0","0","0","7","6","72"
"Palmyra Twp Trustee","Mary Lang","Democratic","0","0","0","0","0","7","6","72"
"Palmyra Twp Trustee","Mike Forth","Democratic","0","0","0","0","0","7","6","72"
"Palmyra Twp Trustee","Leslie Meyers","Democratic","0","0","0","0","0","7","6","72"
"Palmyra Twp Trustee","Donald V Towns II","Republican","67","0","426","4","497","7","7","497"
"Palmyra Twp Treasurer","WRITE-IN 956","","7","0","24","1","32","7","5","57"
"Palmyra Twp Treasurer","Russell Harding","Democratic","0","0","2","0","2","7","5","57"
"Palmyra Twp Treasurer","Doug Davison","Democratic","0","0","2","0","2","7","5","57"
"Palmyra Twp Treasurer","Cotter Mitchel","Democratic","0","0","2","0","2","7","5","57"
"Palmyra Twp Treasurer","Alan Rockhold","Democratic","0","0","1","0","1","7","5","57"
"Palmyra Twp Treasurer","Janice Craig","Democratic","0","0","1","0","1","7","5","57"
"Palmyra Twp Treasurer","Barbara Pressgrove","Democratic","0","0","1","0","1","7","5","57"
"Palmyra Twp Treasurer","Robert Flaherty","Democratic","0","0","1","0","1","7","5","57"
"Palmyra Twp Treasurer","Justin Shafer","Democratic","0","0","1","0","1","7","5","57"
"Palmyra Twp Treasurer","Stay Lister","Democratic","0","0","1","0","1","7","5","57"
"Palmyra Twp Treasurer","Joseph Bathke","Democratic","0","0","1","0","1","7","5","57"
"Palmyra Twp Treasurer","Kathy D. Wiggins","Democratic","0","0","1","0","1","7","5","57"
"Palmyra Twp Treasurer","Cynthia Phillips","Democratic","0","0","1","0","1","7","5","57"
"Palmyra Twp Treasurer","Paige Rockhold","Democratic","0","0","1","0","1","7","5","57"
"Palmyra Twp Treasurer","Susan Johnson","Democratic","0","0","1","0","1","7","5","57"
"Palmyra Twp Treasurer","Ben Ogle","Democratic","1","0","0","0","1","7","5","57"
"Palmyra Twp Treasurer","Paul Gottesburen","Democratic","1","0","0","0","1","7","5","57"
"Palmyra Twp Treasurer","A.J. Armbrister","Democratic","1","0","0","0","1","7","5","57"
"Palmyra Twp Treasurer","Sarah Christian","Democratic","1","0","0","0","1","7","5","57"
"Palmyra Twp Treasurer","Betsy Armbrister","Democratic","1","0","0","0","1","7","5","57"
"Palmyra Twp Treasurer","Dallas Merrit","Democratic","1","0","0","0","1","7","5","57"
"Palmyra Twp Treasurer","Katie Skinner","Democratic","1","0","0","0","1","7","5","57"
"Palmyra Twp Treasurer","Peggy Wessel","Democratic","0","0","0","1","1","7","5","57"
"Palmyra Twp Treasurer","Allen L. Rockhold","Republican","51","0","337","3","391","7","7","555"
"Palmyra Twp Treasurer","Rick Woodhead","Republican","21","0","142","1","164","7","7","555"
"Wakarusa Twp Trustee","WRITE-IN 888","","6","0","13","0","19","11","5","34"
"Wakarusa Twp Trustee","Gerald Dwyer","Democratic","1","0","4","0","5","11","5","34"
"Wakarusa Twp Trustee","Karen Lassman","Democratic","0","0","2","0","2","11","5","34"
"Wakarusa Twp Trustee","Carolee Messeraul","Democratic","0","0","1","0","1","11","5","34"
"Wakarusa Twp Trustee","Rex Hagerman","Democratic","0","0","1","0","1","11","5","34"
"Wakarusa Twp Trustee","Todd Dwyer","Democratic","0","0","1","0","1","11","5","34"
"Wakarusa Twp Trustee","Phil Hodson","Democratic","0","0","1","0","1","11","5","34"
"Wakarusa Twp Trustee","Michele Bennett","Democratic","0","0","1","0","1","11","5","34"
"Wakarusa Twp Trustee","Clenece Hills","Democratic","1","0","0","0","1","11","5","34"
"Wakarusa Twp Trustee","Francis Kelly","Democratic","1","0","0","0","1","11","5","34"
"Wakarusa Twp Trustee","Dennis Karney","Democratic","1","0","0","0","1","11","5","34"
"Wakarusa Twp Trustee","George Hunsinger","Republican","15","0","126","1","142","11","6","142"
"Wakarusa Twp Treasurer","WRITE-IN 886","","3","0","3","0","6","11","3","10"
"Wakarusa Twp Treasurer","John Bradley","Democratic","0","0","1","0","1","11","3","10"
"Wakarusa Twp Treasurer","Tamera Hagerman","Democratic","0","0","1","0","1","11","3","10"
"Wakarusa Twp Treasurer","Phil Hodson","Democratic","0","0","1","0","1","11","3","10"
"Wakarusa Twp Treasurer","Francis Kelly","Democratic","1","0","0","0","1","11","3","10"
"Wakarusa Twp Treasurer","Eugene George","Republican","16","0","144","1","161","11","6","161"
"Willow Springs Twp Trustee","Lance Jungmeyer","Democratic","26","0","47","1","74","3","2","74"
"Willow Springs Twp Trustee","Tim C Horne","Republican","20","0","127","0","147","3","3","147"
"Willow Springs Twp Treasurer","WRITE-IN 894","","2","0","8","0","10","3","2","16"
"Willow Springs Twp Treasurer","Tim Horne","Democratic","0","0","2","0","2","3","2","16"
"Willow Springs Twp Treasurer","Michael Briggs","Democratic","0","0","1","0","1","3","2","16"
"Willow Springs Twp Treasurer","Beverly Corkill","Democratic","0","0","1","0","1","3","2","16"
"Willow Springs Twp Treasurer","Gordon Montney","Democratic","1","0","0","0","1","3","2","16"
"Willow Springs Twp Treasurer","John Harris","Democratic","1","0","0","0","1","3","2","16"
"Willow Springs Twp Treasurer","Erin Jungmeyer","Democratic","0","0","0","0","0","3","2","16"
"Willow Springs Twp Treasurer","Gordon Montney","Republican","21","0","120","0","141","3","3","141"
"Pct 1 Committeeman","Paul Jefferson","Democratic","22","0","109","2","133","1","1","138"
"Pct 1 Committeeman","WRITE-IN 149","","0","0","3","0","3","1","1","138"
"Pct 1 Committeeman","Rudoplph C Neugebower III","Democratic","0","0","1","0","1","1","1","138"
"Pct 1 Committeeman","Bruce Vance","Democratic","0","0","1","0","1","1","1","138"
"Pct 1 Committeeman","Jay Warring","Republican","0","0","1","0","1","1","1","2"
"Pct 1 Committeeman","WRITE-IN 148","","0","0","1","0","1","1","1","2"
"Pct 2 Committeeman","John Carttar","Democratic","72","0","127","1","200","1","1","202"
"Pct 2 Committeeman","Phil Hill","Democratic","0","0","1","0","1","1","1","202"
"Pct 2 Committeeman","WRITE-IN 152","","1","0","0","0","1","1","1","202"
"Pct 2 Committeeman","Jason Kidd","Republican","4","0","14","0","18","1","1","20"
"Pct 2 Committeeman","John Brown","Republican","0","0","1","0","1","1","1","20"
"Pct 2 Committeeman","WRITE-IN 151","","0","0","1","0","1","1","1","20"
"Pct 3 Committeeman","WRITE-IN 155","","4","0","12","0","16","1","1","31"
"Pct 3 Committeeman","Meg Heriford","Democratic","0","0","1","0","1","1","1","31"
"Pct 3 Committeeman","Kent Williams","Democratic","0","0","1","0","1","1","1","31"
"Pct 3 Committeeman","Alicia Conway","Democratic","0","0","1","0","1","1","1","31"
"Pct 3 Committeeman","Jay Warring","Democratic","0","0","1","0","1","1","1","31"
"Pct 3 Committeeman","Bart Marley","Democratic","0","0","1","0","1","1","1","31"
"Pct 3 Committeeman","Ron Barrett","Democratic","0","0","1","0","1","1","1","31"
"Pct 3 Committeeman","Susan Eakins","Democratic","0","0","1","0","1","1","1","31"
"Pct 3 Committeeman","Matt Miner","Democratic","0","0","1","0","1","1","1","31"
"Pct 3 Committeeman","Tom MacDonald","Democratic","0","0","1","0","1","1","1","31"
"Pct 3 Committeeman","Shawn Farmer","Democratic","0","0","1","0","1","1","1","31"
"Pct 3 Committeeman","William I. Katz","Democratic","0","0","1","0","1","1","1","31"
"Pct 3 Committeeman","Harvey Barrett","Democratic","0","0","1","0","1","1","1","31"
"Pct 3 Committeeman","Dennis Brown","Democratic","0","0","1","0","1","1","1","31"
"Pct 3 Committeeman","Dean Palos","Democratic","0","0","1","0","1","1","1","31"
"Pct 3 Committeeman","Corey Behrens","Democratic","0","0","1","0","1","1","1","31"
"Pct 3 Committeeman","James DePriest","Republican","0","0","1","0","1","1","1","2"
"Pct 3 Committeeman","WRITE-IN 154","","0","0","1","0","1","1","1","2"
"Pct 4 Committeeman","Dustin Stumblingbear","Democratic","28","0","69","2","99","1","1","104"
"Pct 4 Committeeman","WRITE-IN 158","","1","0","3","0","4","1","1","104"
"Pct 4 Committeeman","Dennis Constance","Democratic","0","0","1","0","1","1","1","104"
"Pct 4 Committeeman","WRITE-IN 157","","0","0","1","0","1","1","1","1"
"Pct 5 Committeeman","WRITE-IN 161","","1","0","3","0","4","1","1","5"
"Pct 5 Committeeman","Marjann Bennett","Democratic","0","0","1","0","1","1","1","5"
"Pct 5 Committeeman","WRITE-IN 160","","0","0","2","0","2","1","1","4"
"Pct 5 Committeeman","Steve DeVillier","Republican","0","0","1","0","1","1","1","4"
"Pct 5 Committeeman","Brandon Devlin","Republican","0","0","1","0","1","1","1","4"
"Pct Committeeman 6","WRITE-IN 132","","2","0","8","0","10","1","1","18"
"Pct Committeeman 6","Johnny Beane","Democratic","0","0","2","0","2","1","1","18"
"Pct Committeeman 6","Shawn Tiemann","Democratic","0","0","2","0","2","1","1","18"
